股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
海螺水泥,600585,2002-02-07,-10.45,-10.36,-10.32,-10.46,1571436,999592474.0,-1.26,7.09,0.79,78.57
海螺水泥,600585,2002-02-08,-10.37,-10.4,-10.36,-10.4,387850,249146886.0,-0.39,-0.39,-0.04,19.39
海螺水泥,600585,2002-02-25,-10.36,-10.34,-10.31,-10.38,371655,242720655.0,-0.67,0.58,0.06,18.58
海螺水泥,600585,2002-02-26,-10.37,-10.33,-10.33,-10.39,126656,82322095.0,-0.58,0.1,0.01,6.33
海螺水泥,600585,2002-02-27,-10.33,-10.27,-10.23,-10.34,424350,286674441.0,-1.06,0.58,0.06,21.22
海螺水泥,600585,2002-02-28,-10.27,-10.28,-10.25,-10.3,157212,105920100.0,-0.49,-0.1,-0.01,7.86
海螺水泥,600585,2002-03-01,-10.29,-10.28,-10.24,-10.29,110769,75003335.0,-0.49,0.0,0.0,5.54
海螺水泥,600585,2002-03-04,-10.28,-10.25,-10.25,-10.29,75688,51187931.0,-0.39,0.29,0.03,3.78
海螺水泥,600585,2002-03-05,-10.24,-10.23,-10.2,-10.27,132905,91277578.0,-0.68,0.2,0.02,6.65
海螺水泥,600585,2002-03-06,-10.22,-10.24,-10.21,-10.25,144276,99100352.0,-0.39,-0.1,-0.01,7.21
海螺水泥,600585,2002-03-07,-10.24,-10.14,-10.13,-10.25,246171,173100535.0,-1.17,0.98,0.1,12.31
海螺水泥,600585,2002-03-08,-10.13,-10.16,-10.12,-10.2,272828,192144631.0,-0.79,-0.2,-0.02,13.64
海螺水泥,600585,2002-03-11,-10.16,-10.15,-10.14,-10.19,132609,93821698.0,-0.49,0.1,0.01,6.63
海螺水泥,600585,2002-03-12,-10.15,-10.22,-10.15,-10.22,156682,109533674.0,-0.69,-0.69,-0.07,7.83
海螺水泥,600585,2002-03-13,-10.22,-10.22,-10.19,-10.25,62881,43407106.0,-0.59,0.0,0.0,3.14
海螺水泥,600585,2002-03-14,-10.22,-10.19,-10.17,-10.23,77769,54186618.0,-0.59,0.29,0.03,3.89
海螺水泥,600585,2002-03-15,-10.18,-10.22,-10.16,-10.23,90042,63091423.0,-0.69,-0.29,-0.03,4.5
海螺水泥,600585,2002-03-18,-10.19,-10.25,-10.17,-10.28,70371,48127195.0,-1.08,-0.29,-0.03,3.52
海螺水泥,600585,2002-03-19,-10.26,-10.16,-10.16,-10.26,88490,61751876.0,-0.98,0.88,0.09,4.42
海螺水泥,600585,2002-03-20,-10.15,-10.17,-10.14,-10.21,116626,82282740.0,-0.69,-0.1,-0.01,5.83
海螺水泥,600585,2002-03-21,-10.15,-10.13,-10.12,-10.18,162599,116034601.0,-0.59,0.39,0.04,8.13
海螺水泥,600585,2002-03-22,-10.12,-10.14,-10.11,-10.16,73058,52104115.0,-0.49,-0.1,-0.01,3.65
海螺水泥,600585,2002-03-25,-10.14,-10.12,-10.1,-10.17,66620,47920011.0,-0.69,0.2,0.02,3.33
海螺水泥,600585,2002-03-26,-10.12,-10.16,-10.11,-10.17,66873,47559124.0,-0.59,-0.4,-0.04,3.34
海螺水泥,600585,2002-03-27,-10.17,-10.16,-10.15,-10.19,43196,30391538.0,-0.39,0.0,0.0,2.16
海螺水泥,600585,2002-03-28,-10.16,-10.16,-10.15,-10.18,29058,20573171.0,-0.3,0.0,0.0,1.45
海螺水泥,600585,2002-03-29,-10.17,-10.23,-10.17,-10.24,57951,40218655.0,-0.69,-0.69,-0.07,2.9
海螺水泥,600585,2002-04-01,-10.25,-10.21,-10.21,-10.26,26272,18113673.0,-0.49,0.2,0.02,1.31
海螺水泥,600585,2002-04-02,-10.22,-10.25,-10.22,-10.26,25299,17288532.0,-0.39,-0.39,-0.04,1.26
海螺水泥,600585,2002-04-03,-10.25,-10.24,-10.21,-10.26,33005,22589735.0,-0.49,0.1,0.01,1.65
海螺水泥,600585,2002-04-04,-10.25,-10.2,-10.19,-10.26,21693,14940684.0,-0.68,0.39,0.04,1.08
海螺水泥,600585,2002-04-05,-10.18,-10.17,-10.14,-10.2,72311,51135154.0,-0.59,0.29,0.03,3.62
海螺水泥,600585,2002-04-08,-10.17,-10.17,-10.13,-10.19,25591,18131243.0,-0.59,0.0,0.0,1.28
海螺水泥,600585,2002-04-09,-10.16,-10.14,-10.13,-10.17,55576,39487697.0,-0.39,0.29,0.03,2.78
海螺水泥,600585,2002-04-10,-10.14,-10.15,-10.13,-10.17,46333,32914400.0,-0.39,-0.1,-0.01,2.32
海螺水泥,600585,2002-04-11,-10.17,-10.2,-10.14,-10.2,28630,20197284.0,-0.59,-0.49,-0.05,1.43
海螺水泥,600585,2002-04-12,-10.21,-10.19,-10.15,-10.21,20560,14454487.0,-0.59,0.1,0.01,1.03
