股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
三峡能源,600905,2021-06-10,3.14,3.78,3.78,3.14,1573817,596262432.0,24.52,44.83,1.17,2.26
三峡能源,600905,2021-06-11,4.16,4.16,4.16,4.16,347341,145883136.0,0.0,10.05,0.38,0.5
三峡能源,600905,2021-06-15,4.58,4.58,4.58,4.19,36453075,16407454976.0,9.38,10.1,0.42,52.45
三峡能源,600905,2021-06-16,4.57,4.91,5.03,4.31,31487350,15016698624.0,15.72,7.21,0.33,45.31
三峡能源,600905,2021-06-17,4.83,5.41,5.41,4.73,13092208,6872921088.0,13.85,10.18,0.5,18.84
三峡能源,600905,2021-06-18,5.86,5.96,5.96,5.74,6024392,3565611744.0,4.07,10.17,0.55,8.67
三峡能源,600905,2021-06-21,6.56,6.56,6.56,6.56,1393735,919865344.0,0.0,10.07,0.6,2.01
三峡能源,600905,2021-06-22,7.22,7.22,7.22,7.22,361655,262561269.0,0.0,10.06,0.66,0.52
三峡能源,600905,2021-06-23,7.95,7.95,7.95,7.95,231312,184818520.0,0.0,10.11,0.73,0.33
三峡能源,600905,2021-06-24,8.75,7.28,8.75,7.15,35169453,27698437632.0,20.13,-8.43,-0.67,50.61
三峡能源,600905,2021-06-25,6.95,6.85,7.5,6.67,21937588,15295257856.0,11.4,-5.91,-0.43,31.57
三峡能源,600905,2021-06-28,6.71,6.31,6.71,6.29,18818549,12244437760.0,6.13,-7.88,-0.54,27.08
三峡能源,600905,2021-06-29,6.18,6.64,6.82,6.07,19539411,12859344896.0,11.89,5.23,0.33,28.12
三峡能源,600905,2021-06-30,6.48,6.32,6.5,6.24,12709444,8106076672.0,3.92,-4.82,-0.32,18.29
三峡能源,600905,2021-07-01,6.26,6.21,6.51,6.19,9806966,6247749120.0,5.06,-1.74,-0.11,14.11
三峡能源,600905,2021-07-02,6.23,5.91,6.28,5.86,10667396,6406020096.0,6.76,-4.83,-0.3,15.35
三峡能源,600905,2021-07-05,5.86,5.8,5.94,5.66,9134949,5287802880.0,4.74,-1.86,-0.11,13.14
三峡能源,600905,2021-07-06,5.81,6.38,6.38,5.71,16663106,10229750016.0,11.55,10.0,0.58,23.98
三峡能源,600905,2021-07-07,6.26,6.34,6.6,6.08,15278646,9674468608.0,8.15,-0.63,-0.04,21.99
三峡能源,600905,2021-07-08,6.42,6.72,6.85,6.27,15421660,10289353984.0,9.15,5.99,0.38,22.19
三峡能源,600905,2021-07-09,6.64,6.92,7.14,6.49,14543062,10042488320.0,9.67,2.98,0.2,20.93
三峡能源,600905,2021-07-12,6.82,6.74,6.96,6.6,11837127,8044042240.0,5.2,-2.6,-0.18,17.03
三峡能源,600905,2021-07-13,6.63,6.95,7.11,6.58,13047908,9078657792.0,7.86,3.12,0.21,18.78
三峡能源,600905,2021-07-14,6.95,6.77,7.11,6.65,11693495,8087320832.0,6.62,-2.59,-0.18,16.83
三峡能源,600905,2021-07-15,6.67,6.55,6.74,6.38,8582092,5655317760.0,5.32,-3.25,-0.22,12.35
三峡能源,600905,2021-07-16,6.67,6.57,6.84,6.54,8938059,6022989056.0,4.58,0.31,0.02,12.86
三峡能源,600905,2021-07-19,6.45,6.29,6.45,6.21,7163907,4548540928.0,3.65,-4.26,-0.28,10.31
三峡能源,600905,2021-07-20,6.19,6.27,6.36,6.13,5077460,3188383296.0,3.66,-0.32,-0.02,7.31
三峡能源,600905,2021-07-21,6.27,6.2,6.31,6.18,5700564,3566866112.0,2.07,-1.12,-0.07,8.2
三峡能源,600905,2021-07-22,6.23,6.23,6.36,6.19,5658720,3562733024.0,2.74,0.48,0.03,8.14
三峡能源,600905,2021-07-23,6.2,6.06,6.2,6.01,6609671,4028467520.0,3.05,-2.73,-0.17,9.51
