股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
上汽集团,600104,1997-11-25,-9.18,-9.32,-9.02,-9.34,1268358,1715134000.0,-2.99,12.9,1.38,46.98
上汽集团,600104,1997-11-26,-9.3,-9.3,-9.24,-9.37,269306,349335000.0,-1.39,0.21,0.02,9.97
上汽集团,600104,1997-11-27,-9.3,-9.26,-9.14,-9.33,222597,295525000.0,-2.04,0.43,0.04,8.24
上汽集团,600104,1997-11-28,-9.25,-8.98,-8.97,-9.26,478591,668063000.0,-3.13,3.02,0.28,17.73
上汽集团,600104,1997-12-01,-8.98,-9.05,-8.93,-9.07,284411,404628000.0,-1.56,-0.78,-0.07,10.53
上汽集团,600104,1997-12-02,-9.07,-9.16,-9.03,-9.18,189749,260818000.0,-1.66,-1.22,-0.11,7.03
上汽集团,600104,1997-12-03,-9.17,-9.18,-9.11,-9.22,99430,134598000.0,-1.2,-0.22,-0.02,3.68
上汽集团,600104,1997-12-04,-9.17,-9.16,-9.09,-9.19,77214,105537000.0,-1.09,0.22,0.02,2.86
上汽集团,600104,1997-12-05,-9.13,-9.18,-9.1,-9.18,77665,106072000.0,-0.87,-0.22,-0.02,2.88
上汽集团,600104,1997-12-08,-9.16,-9.2,-9.14,-9.21,67461,90569000.0,-0.76,-0.22,-0.02,2.5
上汽集团,600104,1997-12-09,-9.2,-9.18,-9.14,-9.2,40939,55459000.0,-0.65,0.22,0.02,1.52
上汽集团,600104,1997-12-10,-9.16,-9.12,-9.1,-9.18,52132,71194000.0,-0.87,0.65,0.06,1.93
上汽集团,600104,1997-12-11,-9.11,-9.14,-9.11,-9.19,36136,48990000.0,-0.88,-0.22,-0.02,1.34
上汽集团,600104,1997-12-12,-9.14,-9.16,-9.09,-9.17,51295,70385000.0,-0.88,-0.22,-0.02,1.9
上汽集团,600104,1997-12-15,-9.16,-9.17,-9.12,-9.18,48682,66085000.0,-0.66,-0.11,-0.01,1.8
上汽集团,600104,1997-12-16,-9.16,-9.1,-9.04,-9.16,77309,107444000.0,-1.31,0.76,0.07,2.86
上汽集团,600104,1997-12-17,-9.12,-9.2,-9.11,-9.2,93943,126815000.0,-0.99,-1.1,-0.1,3.48
上汽集团,600104,1997-12-18,-9.2,-9.19,-9.16,-9.21,51775,69621000.0,-0.54,0.11,0.01,1.92
上汽集团,600104,1997-12-19,-9.2,-9.25,-9.17,-9.27,89888,118944000.0,-1.09,-0.65,-0.06,3.33
上汽集团,600104,1997-12-22,-9.27,-9.2,-9.2,-9.33,86829,112948000.0,-1.41,0.54,0.05,3.22
上汽集团,600104,1997-12-23,-9.2,-9.25,-9.2,-9.25,34714,46110000.0,-0.54,-0.54,-0.05,1.29
上汽集团,600104,1997-12-24,-9.25,-9.25,-9.21,-9.26,37865,50121000.0,-0.54,0.0,0.0,1.4
上汽集团,600104,1997-12-25,-9.25,-9.28,-9.23,-9.3,48243,63163000.0,-0.76,-0.32,-0.03,1.79
上汽集团,600104,1997-12-26,-9.23,-9.22,-9.17,-9.28,65532,87772000.0,-1.19,0.65,0.06,2.43
上汽集团,600104,1997-12-29,-9.23,-9.28,-9.2,-9.29,39940,52776000.0,-0.98,-0.65,-0.06,1.48
上汽集团,600104,1997-12-30,-9.28,-9.29,-9.25,-9.31,38852,50665000.0,-0.65,-0.11,-0.01,1.44
上汽集团,600104,1997-12-31,-9.29,-9.28,-9.21,-9.29,25920,34083000.0,-0.86,0.11,0.01,0.96
上汽集团,600104,1998-01-05,-9.24,-9.16,-9.13,-9.27,73287,98247000.0,-1.51,1.29,0.12,2.71
上汽集团,600104,1998-01-06,-9.16,-9.09,-9.03,-9.2,113182,157054000.0,-1.86,0.76,0.07,4.19
上汽集团,600104,1998-01-07,-9.07,-9.14,-9.06,-9.14,65094,89982000.0,-0.88,-0.55,-0.05,2.41
上汽集团,600104,1998-01-08,-9.13,-9.15,-9.09,-9.16,45472,62431000.0,-0.77,-0.11,-0.01,1.68
上汽集团,600104,1998-01-09,-9.16,-9.06,-8.99,-9.18,149427,209025000.0,-2.08,0.98,0.09,5.53
上汽集团,600104,1998-01-12,-9.06,-9.15,-9.03,-9.16,80789,112598000.0,-1.43,-0.99,-0.09,2.99
上汽集团,600104,1998-01-13,-9.18,-9.27,-9.16,-9.47,135924,177011000.0,-3.39,-1.31,-0.12,5.03
上汽集团,600104,1998-01-14,-9.27,-9.23,-9.18,-9.27,60744,80903000.0,-0.97,0.43,0.04,2.25
上汽集团,600104,1998-01-15,-8.94,-9.04,-8.93,-9.13,274913,387556000.0,-2.17,2.06,0.19,10.18
上汽集团,600104,1998-01-16,-9.04,-9.13,-9.04,-9.14,86005,119063000.0,-1.11,-1.0,-0.09,3.19
上汽集团,600104,1998-01-19,-9.1,-9.18,-9.06,-9.23,38606,52366000.0,-1.86,-0.55,-0.05,1.43
上汽集团,600104,1998-01-20,-9.18,-9.16,-9.14,-9.2,34426,46553000.0,-0.65,0.22,0.02,1.28
上汽集团,600104,1998-01-21,-9.16,-9.15,-9.1,-9.17,29551,40416000.0,-0.76,0.11,0.01,1.09
上汽集团,600104,1998-01-22,-9.14,-9.17,-9.14,-9.18,33814,45792000.0,-0.44,-0.22,-0.02,1.25
上汽集团,600104,1998-01-23,-9.18,-9.16,-9.15,-9.18,31273,42334000.0,-0.33,0.11,0.01,1.16
上汽集团,600104,1998-02-09,-9.11,-9.18,-9.07,-9.19,36985,50501000.0,-1.31,-0.22,-0.02,1.37
上汽集团,600104,1998-02-10,-9.16,-9.21,-9.16,-9.24,23121,30889000.0,-0.87,-0.33,-0.03,0.86
上汽集团,600104,1998-02-11,-9.21,-9.21,-9.17,-9.24,25249,33726000.0,-0.76,0.0,0.0,0.94
上汽集团,600104,1998-02-12,-9.21,-9.17,-9.16,-9.24,39281,52725000.0,-0.87,0.43,0.04,1.45
上汽集团,600104,1998-02-13,-9.18,-9.22,-9.16,-9.23,27318,36545000.0,-0.76,-0.55,-0.05,1.01
