股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中国平安,601318,2007-03-01,11.49,9.88,11.97,9.39,1977634,9500302911.0,76.11,191.45,6.49,34.39
中国平安,601318,2007-03-02,9.99,9.69,10.21,9.43,425048,1981445189.0,7.89,-1.92,-0.19,7.39
中国平安,601318,2007-03-05,9.48,8.68,9.57,8.25,419197,1880502808.0,13.62,-10.42,-1.01,7.29
中国平安,601318,2007-03-06,8.49,9.11,9.49,8.36,297728,1337719318.0,13.02,4.95,0.43,5.18
中国平安,601318,2007-03-07,9.13,9.73,9.94,8.94,287464,1317764044.0,10.98,6.81,0.62,5.0
中国平安,601318,2007-03-08,9.54,9.45,9.65,9.33,130984,601904452.0,3.29,-2.88,-0.28,2.28
中国平安,601318,2007-03-09,9.44,9.25,9.54,8.84,160888,729237345.0,7.41,-2.12,-0.2,2.8
中国平安,601318,2007-03-12,9.14,8.84,9.14,8.74,145353,651218161.0,4.32,-4.43,-0.41,2.53
中国平安,601318,2007-03-13,8.89,8.93,9.12,8.8,102320,459295478.0,3.62,1.02,0.09,1.78
中国平安,601318,2007-03-14,8.64,8.96,9.04,8.38,173307,767078398.0,7.39,0.34,0.03,3.01
中国平安,601318,2007-03-15,9.25,8.97,9.73,8.89,152522,693085265.0,9.38,0.11,0.01,2.65
中国平安,601318,2007-03-16,8.98,9.09,9.46,8.69,227547,1025880313.0,8.58,1.34,0.12,3.96
中国平安,601318,2007-03-20,9.89,9.38,9.95,9.24,222027,1022520826.0,7.81,3.19,0.29,3.86
中国平安,601318,2007-03-21,9.39,9.04,9.49,8.94,136728,618375507.0,5.86,-3.62,-0.34,2.38
中国平安,601318,2007-03-22,9.21,9.17,9.45,9.1,167510,762792451.0,3.87,1.44,0.13,2.91
中国平安,601318,2007-03-23,9.16,9.07,9.25,8.84,139810,631651813.0,4.47,-1.09,-0.1,2.43
中国平安,601318,2007-03-26,9.09,9.46,9.59,9.08,223267,1024315888.0,5.62,4.3,0.39,3.88
中国平安,601318,2007-03-27,9.38,9.44,9.67,9.3,139338,640740822.0,3.91,-0.21,-0.02,2.42
中国平安,601318,2007-03-28,9.44,9.78,9.94,9.28,258264,1197347468.0,6.99,3.6,0.34,4.49
中国平安,601318,2007-03-29,9.89,10.19,10.88,9.73,461986,2209005944.0,11.76,4.19,0.41,8.03
中国平安,601318,2007-03-30,9.97,10.01,10.42,9.85,144617,683029951.0,5.59,-1.77,-0.18,2.52
中国平安,601318,2007-04-02,10.01,10.68,10.84,10.01,231445,1118052954.0,8.29,6.69,0.67,4.03
中国平安,601318,2007-04-03,10.7,10.59,10.87,10.44,132712,640969005.0,4.03,-0.84,-0.09,2.31
中国平安,601318,2007-04-04,10.6,10.38,10.74,10.26,122455,586499998.0,4.53,-1.98,-0.21,2.13
中国平安,601318,2007-04-05,10.39,10.45,10.49,10.09,122865,584881789.0,3.85,0.67,0.07,2.14
中国平安,601318,2007-04-06,10.33,10.49,10.96,10.24,195209,944575927.0,6.89,0.38,0.04,3.39
中国平安,601318,2007-04-09,10.53,12.29,12.43,10.34,462770,2312736816.0,19.92,17.16,1.8,8.05
中国平安,601318,2007-04-10,11.99,12.9,13.33,11.99,407824,2154172426.0,10.9,4.96,0.61,7.09
中国平安,601318,2007-04-11,12.93,13.26,14.08,12.79,243447,1313817488.0,10.0,2.79,0.36,4.23
中国平安,601318,2007-04-12,13.48,13.21,15.49,12.96,159270,855188897.0,19.08,-0.38,-0.05,2.77
中国平安,601318,2007-04-13,13.54,14.0,14.71,13.49,266689,1469293102.0,9.24,5.98,0.79,4.64
中国平安,601318,2007-04-16,14.32,14.7,14.76,14.32,146972,824203125.0,3.14,5.0,0.7,2.56
中国平安,601318,2007-04-17,14.71,14.06,15.0,13.29,197244,1091710060.0,11.63,-4.35,-0.64,3.43
中国平安,601318,2007-04-18,13.98,13.44,14.03,13.19,130322,706209984.0,5.97,-4.41,-0.62,2.27
中国平安,601318,2007-04-19,13.24,12.48,13.64,11.59,205587,1080238617.0,15.25,-7.14,-0.96,3.58
中国平安,601318,2007-04-20,12.82,14.16,14.69,12.67,185690,1010523120.0,16.19,13.46,1.68,3.23
中国平安,601318,2007-04-23,14.17,14.98,15.27,13.93,146935,835307845.0,9.46,5.79,0.82,2.56
中国平安,601318,2007-04-24,15.48,14.4,15.49,14.36,160473,907541031.0,7.54,-3.87,-0.58,2.79
中国平安,601318,2007-04-25,14.05,14.84,15.34,13.94,145938,823204105.0,9.72,3.06,0.44,2.54
中国平安,601318,2007-04-26,14.78,15.74,15.83,14.78,184961,1073286548.0,7.08,6.06,0.9,3.22
中国平安,601318,2007-04-27,15.76,18.29,18.67,15.64,389839,2404772081.0,19.25,16.2,2.55,6.78
中国平安,601318,2007-04-30,18.09,19.41,20.4,17.68,204190,1323232053.0,14.87,6.12,1.12,3.55
中国平安,601318,2007-05-08,20.39,19.35,20.48,18.99,132326,870776142.0,7.68,-0.31,-0.06,2.3
中国平安,601318,2007-05-09,18.74,19.35,19.89,17.99,111813,727121809.0,9.82,0.0,0.0,1.94
中国平安,601318,2007-05-10,19.37,18.73,19.49,18.64,85845,557976168.0,4.39,-3.2,-0.62,1.49
中国平安,601318,2007-05-11,18.24,17.89,18.44,17.06,160593,1003287173.0,7.37,-4.48,-0.84,2.79
中国平安,601318,2007-05-14,17.39,18.49,19.83,16.49,171744,1104697676.0,18.67,3.35,0.6,2.99
中国平安,601318,2007-05-15,18.69,17.25,18.73,17.21,111534,698693032.0,8.22,-6.71,-1.24,1.94
中国平安,601318,2007-05-16,17.24,17.65,17.98,16.84,98842,610776702.0,6.61,2.32,0.4,1.72
中国平安,601318,2007-05-17,17.65,17.91,18.38,17.49,84328,528182974.0,5.04,1.47,0.26,1.47
中国平安,601318,2007-05-18,17.73,17.59,17.91,16.99,111773,695617734.0,5.14,-1.79,-0.32,1.94
中国平安,601318,2007-05-21,16.94,18.22,18.78,16.89,168889,1073946037.0,10.74,3.58,0.63,2.94
中国平安,601318,2007-05-22,18.24,18.49,19.31,18.22,124377,802527503.0,5.98,1.48,0.27,2.16
中国平安,601318,2007-05-23,18.55,18.59,18.99,18.29,76321,492199733.0,3.79,0.54,0.1,1.33
中国平安,601318,2007-05-24,18.49,17.7,18.99,17.19,114202,719624114.0,9.68,-4.79,-0.89,1.99
中国平安,601318,2007-05-25,17.48,17.45,18.07,17.29,85755,534340450.0,4.41,-1.41,-0.25,1.49
中国平安,601318,2007-05-28,17.53,18.73,18.79,17.49,158345,1008706502.0,7.45,7.34,1.28,2.75
中国平安,601318,2007-05-29,18.74,18.98,19.24,18.59,97018,629290052.0,3.47,1.33,0.25,1.69
中国平安,601318,2007-05-30,17.14,15.97,18.68,15.74,203317,1247435798.0,15.49,-15.86,-3.01,3.54
中国平安,601318,2007-05-31,16.49,16.96,17.74,15.76,142413,861871371.0,12.4,6.2,0.99,2.48
中国平安,601318,2007-06-01,16.53,16.76,17.74,16.28,384487,2343594693.0,8.61,-1.18,-0.2,4.78
中国平安,601318,2007-06-04,16.76,14.99,17.0,14.39,219698,1281793905.0,15.57,-10.56,-1.77,2.73
中国平安,601318,2007-06-05,14.79,14.98,15.79,13.43,201584,1130197677.0,15.74,-0.07,-0.01,2.5
中国平安,601318,2007-06-06,15.11,15.34,16.03,14.74,144223,834640152.0,8.61,2.4,0.36,1.79
中国平安,601318,2007-06-08,16.24,16.08,16.56,15.35,167924,988128111.0,7.89,4.82,0.74,2.09
中国平安,601318,2007-06-11,16.0,17.75,17.97,16.0,183390,1135021972.0,12.25,10.39,1.67,2.28
中国平安,601318,2007-06-12,17.89,18.69,19.13,17.83,193908,1246109089.0,7.32,5.3,0.94,2.41
中国平安,601318,2007-06-13,18.74,18.32,19.28,17.97,151369,971187229.0,7.01,-1.98,-0.37,1.88
中国平安,601318,2007-06-14,18.64,18.7,19.54,18.29,115152,747474620.0,6.82,2.07,0.38,1.43
中国平安,601318,2007-06-15,18.69,19.18,19.42,18.52,93825,611347511.0,4.81,2.57,0.48,1.17
中国平安,601318,2007-06-18,19.86,22.45,22.45,19.75,205302,1426978778.0,14.08,17.05,3.27,2.55
中国平安,601318,2007-06-19,22.49,22.07,23.39,21.74,144187,1040830370.0,7.35,-1.69,-0.38,1.79
中国平安,601318,2007-06-20,21.99,21.82,23.44,21.78,134554,972066733.0,7.52,-1.13,-0.25,1.67
中国平安,601318,2007-06-21,21.74,23.44,25.23,21.74,198229,1473952551.0,15.99,7.42,1.62,2.46
中国平安,601318,2007-06-22,23.49,23.99,24.87,23.1,140629,1042675284.0,7.55,2.35,0.55,1.75
中国平安,601318,2007-06-25,24.35,23.73,25.37,22.98,186736,1408262705.0,9.96,-1.08,-0.26,2.32
中国平安,601318,2007-06-26,23.0,23.19,23.69,22.4,166576,1211248877.0,5.44,-2.28,-0.54,2.07
中国平安,601318,2007-06-27,23.21,24.69,25.2,23.21,108954,824020168.0,8.58,6.47,1.5,1.35
中国平安,601318,2007-06-28,24.76,23.15,24.84,23.11,88164,657443825.0,7.01,-6.24,-1.54,1.1
中国平安,601318,2007-06-29,22.35,22.35,23.1,22.2,93936,675697696.0,3.89,-3.46,-0.8,1.17
中国平安,601318,2007-07-02,22.1,21.44,22.4,20.8,70237,491042222.0,7.16,-4.07,-0.91,0.87
中国平安,601318,2007-07-03,21.5,22.54,22.87,21.5,45929,328909773.0,6.39,5.13,1.1,0.57
中国平安,601318,2007-07-04,22.4,21.75,22.85,21.6,45024,323343838.0,5.55,-3.5,-0.79,0.56
中国平安,601318,2007-07-05,21.6,21.66,23.1,21.26,66119,469580503.0,8.46,-0.41,-0.09,0.82
中国平安,601318,2007-07-06,21.61,23.01,23.02,21.52,66053,472405667.0,6.93,6.23,1.35,0.82
中国平安,601318,2007-07-09,23.34,24.27,24.59,23.04,56815,425030824.0,6.74,5.48,1.26,0.71
