股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中国建筑,601668,2009-07-29,3.1,2.97,4.0,2.75,41731609,29167687993.0,96.15,128.46,1.67,69.55
中国建筑,601668,2009-07-30,3.17,3.27,3.31,3.04,16480096,11237231712.0,9.09,10.1,0.3,27.47
中国建筑,601668,2009-07-31,3.17,3.2,3.25,3.08,10535058,7145232383.0,5.2,-2.14,-0.07,17.56
中国建筑,601668,2009-08-03,3.16,3.07,3.18,3.0,8371755,5577208545.0,5.63,-4.06,-0.13,13.95
中国建筑,601668,2009-08-04,3.05,2.93,3.05,2.87,7428538,4820713471.0,5.86,-4.56,-0.14,12.38
中国建筑,601668,2009-08-05,2.93,3.0,3.03,2.9,5089199,3316283201.0,4.44,2.39,0.07,8.48
中国建筑,601668,2009-08-06,2.95,2.91,2.99,2.81,4763348,3059723388.0,6.0,-3.0,-0.09,7.94
中国建筑,601668,2009-08-07,2.92,2.86,2.95,2.84,4355387,2791217927.0,3.78,-1.72,-0.05,7.26
中国建筑,601668,2009-08-10,2.88,2.88,2.93,2.83,3188140,2038182096.0,3.5,0.7,0.02,5.31
中国建筑,601668,2009-08-11,2.9,3.02,3.06,2.85,6130564,4006083002.0,7.29,4.86,0.14,10.22
中国建筑,601668,2009-08-12,2.95,2.74,2.99,2.69,5406823,3431300644.0,9.93,-9.27,-0.28,9.01
中国建筑,601668,2009-08-13,2.76,2.68,2.77,2.64,3343743,2046442065.0,4.74,-2.19,-0.06,5.57
中国建筑,601668,2009-08-14,2.69,2.44,2.71,2.43,4372898,2594801716.0,10.45,-8.96,-0.24,7.29
中国建筑,601668,2009-08-17,2.35,2.35,2.48,2.32,3972981,2278675243.0,6.56,-3.69,-0.09,6.62
中国建筑,601668,2009-08-18,2.37,2.39,2.42,2.27,2785237,1576150771.0,6.38,1.7,0.04,4.64
中国建筑,601668,2009-08-19,2.37,2.09,2.38,2.07,3359966,1829153246.0,12.97,-12.55,-0.3,5.6
中国建筑,601668,2009-08-20,2.08,2.2,2.24,2.06,3139957,1694339225.0,8.61,5.26,0.11,5.23
中国建筑,601668,2009-08-21,2.14,2.17,2.21,2.1,2891632,1556772647.0,5.0,-1.36,-0.03,4.82
中国建筑,601668,2009-08-24,2.17,2.1,2.18,2.07,2649500,1411411086.0,5.07,-3.23,-0.07,4.42
中国建筑,601668,2009-08-25,2.1,1.95,2.11,1.86,4285676,2175074144.0,11.9,-7.14,-0.15,7.14
中国建筑,601668,2009-08-26,1.95,2.04,2.12,1.89,3240648,1690289810.0,11.79,4.62,0.09,5.4
中国建筑,601668,2009-08-27,2.0,2.01,2.05,1.95,2135390,1102612590.0,4.9,-1.47,-0.03,3.56
中国建筑,601668,2009-08-28,1.99,1.92,2.01,1.9,1690456,859749350.0,5.47,-4.48,-0.09,2.82
中国建筑,601668,2009-08-31,1.88,1.88,1.98,1.85,2886260,1454839690.0,6.77,-2.08,-0.04,4.81
中国建筑,601668,2009-09-01,1.9,1.98,2.04,1.88,2974071,1529558112.0,8.51,5.32,0.1,4.96
中国建筑,601668,2009-09-02,1.92,1.97,1.99,1.92,1685634,860824552.0,3.54,-0.51,-0.01,2.81
中国建筑,601668,2009-09-03,1.97,2.14,2.15,1.97,4380723,2317538662.0,9.14,8.63,0.17,7.3
中国建筑,601668,2009-09-04,2.1,2.1,2.16,2.07,2549672,1355422573.0,4.21,-1.87,-0.04,4.25
中国建筑,601668,2009-09-07,2.14,2.1,2.15,2.06,2123697,1127379509.0,4.29,0.0,0.0,3.54
中国建筑,601668,2009-09-08,2.07,2.09,2.09,2.02,2294580,1201984191.0,3.33,-0.48,-0.01,3.82
中国建筑,601668,2009-09-09,2.07,2.05,2.08,1.98,2364043,1230943676.0,4.78,-1.91,-0.04,3.94
中国建筑,601668,2009-09-10,2.03,2.06,2.15,2.02,2847953,1508288147.0,6.34,0.49,0.01,4.75
中国建筑,601668,2009-09-11,2.05,2.1,2.13,2.03,2263463,1197767049.0,4.85,1.94,0.04,3.77
中国建筑,601668,2009-09-14,2.12,2.21,2.22,2.1,3306571,1778853432.0,5.71,5.24,0.11,5.51
中国建筑,601668,2009-09-15,2.2,2.15,2.21,2.13,2470235,1332593809.0,3.62,-2.71,-0.06,4.12
中国建筑,601668,2009-09-16,2.15,2.08,2.15,2.06,1969939,1042299984.0,4.19,-3.26,-0.07,3.28
中国建筑,601668,2009-09-17,2.1,2.11,2.14,2.07,2732072,1451201205.0,3.37,1.44,0.03,4.55
中国建筑,601668,2009-09-18,2.12,2.0,2.13,1.98,2675362,1404838160.0,7.11,-5.21,-0.11,4.46
中国建筑,601668,2009-09-21,1.96,1.97,1.98,1.91,1949966,990785909.0,3.5,-1.5,-0.03,3.25
中国建筑,601668,2009-09-22,1.97,1.92,2.0,1.91,1677410,854663167.0,4.57,-2.54,-0.05,2.8
中国建筑,601668,2009-09-23,1.92,1.88,1.94,1.87,1748038,878122638.0,3.65,-2.08,-0.04,2.91
中国建筑,601668,2009-09-24,1.87,1.79,1.87,1.76,1954866,957775771.0,5.85,-4.79,-0.09,3.26
中国建筑,601668,2009-09-25,1.79,1.79,1.83,1.76,1248052,608503354.0,3.91,0.0,0.0,2.08
中国建筑,601668,2009-09-28,1.8,1.69,1.81,1.67,1331065,642018960.0,7.82,-5.59,-0.1,2.22
