股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中国电信,601728,2021-08-20,4.62,5.94,6.35,4.41,38846643,20105591040.0,44.5,36.24,1.58,67.14
中国电信,601728,2021-08-23,5.33,5.33,5.33,5.33,3109724,1710348208.0,0.0,-10.27,-0.61,5.37
中国电信,601728,2021-08-24,4.78,4.78,4.78,4.78,4065975,2012657632.0,0.0,-10.32,-0.55,7.03
中国电信,601728,2021-08-25,4.78,4.66,4.97,4.6,20840903,10182275584.0,7.74,-2.51,-0.12,36.02
中国电信,601728,2021-08-26,4.56,4.54,4.67,4.45,13816493,6471125760.0,4.72,-2.58,-0.12,23.88
中国电信,601728,2021-08-27,4.49,4.44,4.53,4.43,9154883,4241738656.0,2.2,-2.2,-0.1,15.82
中国电信,601728,2021-08-30,4.45,4.47,4.5,4.41,8283241,3821401680.0,2.03,0.68,0.03,14.32
中国电信,601728,2021-08-31,4.44,4.39,4.45,4.38,7428288,3392268864.0,1.57,-1.79,-0.08,12.84
中国电信,601728,2021-09-01,4.38,4.41,4.44,4.37,6917194,3164104032.0,1.59,0.46,0.02,11.95
中国电信,601728,2021-09-02,4.39,4.39,4.4,4.37,5988770,2724702720.0,0.68,-0.45,-0.02,10.35
中国电信,601728,2021-09-03,4.38,4.37,4.38,4.36,5609119,2547149312.0,0.46,-0.46,-0.02,9.69
中国电信,601728,2021-09-06,4.37,4.38,4.41,4.36,5960071,2710518576.0,1.14,0.23,0.01,10.3
中国电信,601728,2021-09-07,4.37,4.37,4.38,4.36,4980432,2260798208.0,0.46,-0.23,-0.01,8.61
中国电信,601728,2021-09-08,4.37,4.37,4.38,4.36,4579274,2078538304.0,0.46,0.0,0.0,7.91
中国电信,601728,2021-09-09,4.37,4.37,4.38,4.36,4194722,1903991712.0,0.46,0.0,0.0,7.25
中国电信,601728,2021-09-10,4.37,4.36,4.38,4.36,4022438,1825151136.0,0.46,-0.23,-0.01,6.95
中国电信,601728,2021-09-13,4.36,4.37,4.37,4.36,3432768,1556374128.0,0.23,0.23,0.01,5.93
中国电信,601728,2021-09-14,4.37,4.36,4.37,4.36,4082816,1850571696.0,0.23,-0.23,-0.01,7.06
中国电信,601728,2021-09-15,4.36,4.36,4.37,4.36,3390751,1536797200.0,0.23,0.0,0.0,5.86
中国电信,601728,2021-09-16,4.36,4.36,4.37,4.36,4368258,1979723040.0,0.23,0.0,0.0,7.55
中国电信,601728,2021-09-17,4.36,4.36,4.37,4.36,5390700,2442833872.0,0.23,0.0,0.0,9.32
中国电信,601728,2021-09-22,4.37,4.46,4.56,4.36,5435019,2511000016.0,4.59,2.29,0.1,12.34
中国电信,601728,2021-09-23,4.42,4.38,4.43,4.37,3349932,1524449632.0,1.35,-1.79,-0.08,7.6
中国电信,601728,2021-09-24,4.37,4.27,4.38,4.26,3545092,1585257584.0,2.74,-2.51,-0.11,8.05
中国电信,601728,2021-09-27,4.27,4.14,4.27,4.13,2857343,1241402320.0,3.28,-3.04,-0.13,6.49
中国电信,601728,2021-09-28,4.12,4.17,4.21,4.08,1580030,681213376.0,3.14,0.72,0.03,3.59
中国电信,601728,2021-09-29,4.12,4.09,4.14,4.08,1458438,622819088.0,1.44,-1.92,-0.08,3.31
中国电信,601728,2021-09-30,4.09,4.12,4.13,4.08,976893,417242992.0,1.22,0.73,0.03,2.22
中国电信,601728,2021-10-08,4.13,4.17,4.18,4.1,1403774,605277968.0,1.94,1.21,0.05,3.19
中国电信,601728,2021-10-11,4.16,4.16,4.18,4.14,1059875,458657568.0,0.96,-0.24,-0.01,2.41
中国电信,601728,2021-10-12,4.15,4.11,4.16,4.08,1262682,540901952.0,1.92,-1.2,-0.05,2.87
中国电信,601728,2021-10-13,4.1,4.1,4.11,4.08,858032,366030480.0,0.73,-0.24,-0.01,1.95
中国电信,601728,2021-10-14,4.1,4.09,4.1,4.08,675389,287773376.0,0.49,-0.24,-0.01,1.53
中国电信,601728,2021-10-15,4.09,4.09,4.11,4.08,783029,333829888.0,0.73,0.0,0.0,1.78
中国电信,601728,2021-10-18,4.09,4.05,4.09,4.04,1151071,486110064.0,1.22,-0.98,-0.04,2.61
中国电信,601728,2021-10-19,4.05,4.03,4.06,4.02,936170,393561824.0,0.99,-0.49,-0.02,2.13
中国电信,601728,2021-10-20,4.03,4.02,4.04,4.01,804948,337215584.0,0.74,-0.25,-0.01,1.83
中国电信,601728,2021-10-21,4.02,4.0,4.02,3.99,882846,368320416.0,0.75,-0.5,-0.02,2.0
中国电信,601728,2021-10-22,3.99,3.97,3.99,3.96,1030289,427089232.0,0.75,-0.75,-0.03,2.34
中国电信,601728,2021-10-25,3.97,4.05,4.05,3.97,1406986,588654768.0,2.02,2.02,0.08,3.19
中国电信,601728,2021-10-26,4.03,4.03,4.05,3.99,1063230,444934720.0,1.48,-0.49,-0.02,2.41
