股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中国石化,600028,2001-08-08,-0.68,-0.87,-0.6,-0.9,6775533,3015767000.0,-30.93,10.31,0.1,44.0
中国石化,600028,2001-08-09,-0.88,-0.94,-0.87,-0.97,1568098,671175000.0,-11.49,-8.05,-0.07,10.18
中国石化,600028,2001-08-10,-0.94,-0.88,-0.84,-0.95,808393,349733000.0,-11.7,6.38,0.06,5.25
中国石化,600028,2001-08-13,-0.89,-0.91,-0.87,-0.94,380127,163571000.0,-7.95,-3.41,-0.03,2.47
中国石化,600028,2001-08-14,-0.91,-0.93,-0.87,-0.94,282869,121521000.0,-7.69,-2.2,-0.02,1.84
中国石化,600028,2001-08-15,-0.94,-0.94,-0.91,-0.94,199026,85130000.0,-3.23,-1.08,-0.01,1.29
中国石化,600028,2001-08-16,-0.93,-0.96,-0.92,-0.96,236505,100679000.0,-4.26,-2.13,-0.02,1.54
中国石化,600028,2001-08-17,-0.95,-0.9,-0.88,-0.96,303868,129895000.0,-8.33,6.25,0.06,1.97
中国石化,600028,2001-08-20,-0.91,-0.94,-0.91,-0.95,106450,45411000.0,-4.44,-4.44,-0.04,0.69
中国石化,600028,2001-08-21,-0.94,-0.96,-0.93,-0.96,211548,89907000.0,-3.19,-2.13,-0.02,1.37
中国石化,600028,2001-08-22,-0.96,-1.04,-0.95,-1.04,781415,324714000.0,-9.38,-8.33,-0.08,5.07
中国石化,600028,2001-08-23,-1.05,-1.06,-1.04,-1.13,353094,143967000.0,-8.65,-1.92,-0.02,2.29
中国石化,600028,2001-08-27,-1.1,-1.17,-1.1,-1.21,338673,134824000.0,-10.38,-10.38,-0.11,2.2
中国石化,600028,2001-08-28,-1.2,-1.14,-1.14,-1.21,261038,103591000.0,-5.98,2.56,0.03,1.7
中国石化,600028,2001-08-29,-1.14,-1.17,-1.12,-1.17,127005,50647000.0,-4.39,-2.63,-0.03,0.82
中国石化,600028,2001-08-30,-1.17,-1.12,-1.11,-1.19,145031,57842000.0,-6.84,4.27,0.05,0.94
中国石化,600028,2001-08-31,-1.13,-1.15,-1.13,-1.15,54259,21702000.0,-1.79,-2.68,-0.03,0.35
中国石化,600028,2001-09-03,-1.15,-1.2,-1.15,-1.2,115897,45782000.0,-4.35,-4.35,-0.05,0.75
中国石化,600028,2001-09-04,-1.2,-1.16,-1.14,-1.2,120266,47732000.0,-5.0,3.33,0.04,0.78
中国石化,600028,2001-09-05,-1.14,-1.16,-1.14,-1.17,83984,33481000.0,-2.59,0.0,0.0,0.55
中国石化,600028,2001-09-06,-1.16,-1.18,-1.16,-1.19,78066,30859000.0,-2.59,-1.72,-0.02,0.51
中国石化,600028,2001-09-07,-1.18,-1.26,-1.18,-1.26,247704,96419000.0,-6.78,-6.78,-0.08,1.61
中国石化,600028,2001-09-10,-1.29,-1.23,-1.13,-1.33,194703,75948000.0,-15.87,2.38,0.03,1.26
中国石化,600028,2001-09-11,-1.22,-1.17,-1.15,-1.25,153925,60395000.0,-8.13,4.88,0.06,1.0
中国石化,600028,2001-09-12,-1.15,-1.04,-0.87,-1.17,1279531,527594000.0,-25.64,11.11,0.13,8.31
中国石化,600028,2001-09-13,-1.04,-1.15,-1.04,-1.17,304873,122275000.0,-12.5,-10.58,-0.11,1.98
中国石化,600028,2001-09-14,-1.16,-1.17,-1.11,-1.21,173685,68711000.0,-8.7,-1.74,-0.02,1.13
中国石化,600028,2001-09-17,-1.17,-1.22,-1.17,-1.23,153493,60128000.0,-5.13,-4.27,-0.05,1.0
中国石化,600028,2001-09-18,-1.2,-1.2,-1.16,-1.22,64116,25127000.0,-4.92,1.64,0.02,0.42
中国石化,600028,2001-09-19,-1.19,-1.18,-1.17,-1.22,55883,21932000.0,-4.17,1.67,0.02,0.36
中国石化,600028,2001-09-20,-1.17,-1.19,-1.16,-1.2,55770,22017000.0,-3.39,-0.85,-0.01,0.36
中国石化,600028,2001-09-21,-1.19,-1.2,-1.17,-1.23,70153,27476000.0,-5.04,-0.84,-0.01,0.46
中国石化,600028,2001-09-24,-1.2,-1.21,-1.2,-1.22,40785,15947000.0,-1.67,-0.83,-0.01,0.26
中国石化,600028,2001-09-25,-1.2,-1.2,-1.18,-1.23,72427,28304000.0,-4.13,0.83,0.01,0.47
中国石化,600028,2001-09-26,-1.21,-1.25,-1.21,-1.26,103798,40155000.0,-4.17,-4.17,-0.05,0.67
中国石化,600028,2001-09-27,-1.25,-1.25,-1.24,-1.27,66920,25834000.0,-2.4,0.0,0.0,0.43
中国石化,600028,2001-09-28,-1.25,-1.23,-1.22,-1.26,57090,22098000.0,-3.2,1.6,0.02,0.37
中国石化,600028,2001-10-08,-1.22,-1.25,-1.17,-1.26,56740,22026000.0,-7.32,-1.63,-0.02,0.37
中国石化,600028,2001-10-09,-1.25,-1.22,-1.21,-1.25,45095,17493000.0,-3.2,2.4,0.03,0.29
中国石化,600028,2001-10-10,-1.22,-1.29,-1.22,-1.3,112816,43263000.0,-6.56,-5.74,-0.07,0.73
中国石化,600028,2001-10-11,-1.29,-1.34,-1.27,-1.34,122171,46029000.0,-5.43,-3.88,-0.05,0.79
中国石化,600028,2001-10-12,-1.34,-1.27,-1.22,-1.42,187527,70684000.0,-14.93,5.22,0.07,1.22
