股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
中国石油,601857,2007-11-05,45.37,40.73,45.39,38.47,15474995,69991387080.0,51.37,202.38,27.26,51.58
中国石油,601857,2007-11-06,38.17,36.76,39.17,36.57,3429778,14000246724.0,6.38,-9.75,-3.97,11.43
中国石油,601857,2007-11-07,36.47,37.2,37.5,35.05,2166189,8575266758.0,6.66,1.2,0.44,7.22
中国石油,601857,2007-11-08,35.97,34.96,36.52,34.77,1400510,5447044938.0,4.7,-6.02,-2.24,4.67
中国石油,601857,2007-11-09,34.62,34.95,35.16,33.43,1432266,5379485005.0,4.95,-0.03,-0.01,4.77
中国石油,601857,2007-11-12,33.76,33.22,34.52,32.77,1062708,3907920427.0,5.01,-4.95,-1.73,3.54
中国石油,601857,2007-11-13,33.82,33.8,34.71,33.27,1105405,4127364967.0,4.33,1.75,0.58,3.68
中国石油,601857,2007-11-14,34.5,35.65,36.32,33.77,1171350,4484086383.0,7.54,5.47,1.85,3.9
中国石油,601857,2007-11-15,35.07,34.68,35.27,34.57,782257,2978170979.0,1.96,-2.72,-0.97,2.61
中国石油,601857,2007-11-16,34.22,35.59,35.82,33.8,1004199,3874135409.0,5.82,2.62,0.91,3.35
中国石油,601857,2007-11-19,35.51,34.84,35.51,34.44,729184,2775461540.0,3.01,-2.11,-0.75,2.43
中国石油,601857,2007-11-20,34.37,34.21,34.74,33.63,742276,2769457560.0,3.19,-1.81,-0.63,2.47
中国石油,601857,2007-11-21,34.27,33.59,34.63,33.47,738967,2745084046.0,3.39,-1.81,-0.62,2.46
中国石油,601857,2007-11-22,32.77,31.88,33.14,31.77,936969,3343454043.0,4.08,-5.09,-1.71,3.12
中国石油,601857,2007-11-23,31.66,31.36,31.88,30.52,721263,2469174245.0,4.27,-1.63,-0.52,2.4
中国石油,601857,2007-11-26,31.77,30.53,31.95,30.47,791802,2718385130.0,4.72,-2.65,-0.83,2.64
中国石油,601857,2007-11-27,30.26,29.32,30.26,29.29,892193,2934412205.0,3.18,-3.96,-1.21,2.97
中国石油,601857,2007-11-28,29.43,28.92,29.76,28.67,843536,2726746540.0,3.72,-1.36,-0.4,2.81
中国石油,601857,2007-11-29,29.54,29.82,29.97,28.86,924778,3021465546.0,3.84,3.11,0.9,3.08
中国石油,601857,2007-11-30,29.52,28.29,29.52,28.27,1024157,3268354506.0,4.19,-5.13,-1.53,3.41
中国石油,601857,2007-12-03,27.75,27.21,27.75,27.07,824535,2514561795.0,2.4,-3.82,-1.08,2.75
中国石油,601857,2007-12-04,27.37,27.36,27.84,27.27,521182,1601821974.0,2.09,0.55,0.15,1.74
中国石油,601857,2007-12-05,27.37,28.21,28.57,27.11,770304,2403098049.0,5.34,3.11,0.85,2.57
中国石油,601857,2007-12-06,28.27,27.89,28.32,27.67,418549,1303454039.0,2.3,-1.13,-0.32,1.4
中国石油,601857,2007-12-07,27.87,28.08,28.27,27.43,520039,1615924392.0,3.01,0.68,0.19,1.73
中国石油,601857,2007-12-10,27.68,28.19,28.47,27.35,735732,2302580998.0,3.99,0.39,0.11,2.45
中国石油,601857,2007-12-11,28.23,28.7,28.93,28.23,666672,2120014204.0,2.48,1.81,0.51,2.22
中国石油,601857,2007-12-12,28.47,27.91,28.47,27.77,565705,1767339893.0,2.44,-2.75,-0.79,1.89
中国石油,601857,2007-12-13,27.86,27.3,27.86,27.27,581023,1787330910.0,2.11,-2.19,-0.61,1.94
中国石油,601857,2007-12-14,27.05,27.32,27.39,26.75,574497,1734039808.0,2.34,0.07,0.02,1.91
中国石油,601857,2007-12-17,27.32,26.76,27.32,26.75,598917,1799340157.0,2.09,-2.05,-0.56,2.0
中国石油,601857,2007-12-18,26.76,26.01,26.76,25.92,502234,1484021318.0,3.14,-2.8,-0.75,1.67
中国石油,601857,2007-12-19,25.97,26.36,26.66,25.94,413058,1220795725.0,2.77,1.35,0.35,1.38
中国石油,601857,2007-12-20,26.55,27.27,27.32,26.1,522172,1573257756.0,4.63,3.45,0.91,1.74
中国石油,601857,2007-12-21,27.07,27.31,27.49,26.95,431268,1312162205.0,1.98,0.15,0.04,1.44
中国石油,601857,2007-12-24,27.33,28.73,29.55,26.93,1428014,4504947628.0,9.59,5.2,1.42,4.76
中国石油,601857,2007-12-25,28.56,28.02,28.65,27.87,627215,1973908989.0,2.71,-2.47,-0.71,2.09
中国石油,601857,2007-12-26,28.02,28.31,28.57,27.81,485294,1521849962.0,2.71,1.03,0.29,1.62
中国石油,601857,2007-12-27,28.37,28.16,28.62,27.93,700757,2205397759.0,2.44,-0.53,-0.15,2.34
中国石油,601857,2007-12-28,28.2,27.73,28.36,27.66,686401,2138829987.0,2.49,-1.53,-0.43,2.29
中国石油,601857,2008-01-02,27.67,27.35,27.67,27.16,550016,1681279273.0,1.84,-1.37,-0.38,1.83
中国石油,601857,2008-01-03,27.45,27.85,27.87,27.18,642023,1971659810.0,2.52,1.83,0.5,2.14
中国石油,601857,2008-01-04,28.07,28.08,28.58,28.07,693202,2183641082.0,1.83,0.83,0.23,2.31
中国石油,601857,2008-01-07,28.1,27.86,28.19,27.77,630001,1959017788.0,1.5,-0.78,-0.22,2.1
中国石油,601857,2008-01-08,27.92,27.75,28.4,27.58,704928,2209157362.0,2.94,-0.39,-0.11,2.35
中国石油,601857,2008-01-09,27.57,27.59,27.71,27.34,532072,1633336634.0,1.33,-0.58,-0.16,1.77
中国石油,601857,2008-01-10,27.59,27.33,27.76,27.17,723867,2212773010.0,2.14,-0.94,-0.26,2.41
中国石油,601857,2008-01-11,27.37,27.53,27.75,27.17,499708,1531412658.0,2.12,0.73,0.2,1.67
中国石油,601857,2008-01-14,27.67,27.38,27.76,27.19,544360,1664982948.0,2.07,-0.54,-0.15,1.81
中国石油,601857,2008-01-15,27.38,27.03,27.38,26.93,741923,2247516102.0,1.64,-1.28,-0.35,2.47
中国石油,601857,2008-01-16,26.77,26.43,26.92,26.4,751886,2242601181.0,1.92,-2.22,-0.6,2.51
中国石油,601857,2008-01-17,26.28,25.81,26.65,25.47,713973,2083810085.0,4.46,-2.35,-0.62,2.38
中国石油,601857,2008-01-18,25.67,25.86,25.97,25.57,410307,1187937951.0,1.55,0.19,0.05,1.37
中国石油,601857,2008-01-21,25.87,24.25,25.97,24.12,611907,1724137263.0,7.15,-6.23,-1.61,2.04
中国石油,601857,2008-01-22,23.96,22.95,23.96,22.37,963451,2526967795.0,6.56,-5.36,-1.3,3.21
中国石油,601857,2008-01-23,22.92,23.17,23.6,22.67,549863,1447850163.0,4.05,0.96,0.22,1.83
中国石油,601857,2008-01-24,23.32,22.78,23.56,22.57,497192,1297738074.0,4.27,-1.68,-0.39,1.66
中国石油,601857,2008-01-25,22.79,22.91,23.2,22.23,435576,1129353580.0,4.26,0.57,0.13,1.45
中国石油,601857,2008-01-28,22.75,20.79,22.75,20.77,530555,1313755388.0,8.64,-9.25,-2.12,1.77
中国石油,601857,2008-01-29,20.79,20.97,21.3,20.57,313818,757326660.0,3.51,0.87,0.18,1.05
中国石油,601857,2008-01-30,21.27,21.22,21.85,20.89,350044,859719755.0,4.58,1.19,0.25,1.17
