股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
伊利股份,600887,1996-03-12,-5.71,-5.72,-5.71,-5.72,141550,122456000.0,-0.17,0.52,0.03,78.64
伊利股份,600887,1996-03-13,-5.73,-5.72,-5.72,-5.73,34008,28181000.0,-0.17,0.0,0.0,18.89
伊利股份,600887,1996-03-14,-5.72,-5.72,-5.72,-5.72,20159,16585000.0,0.0,0.0,0.0,11.2
伊利股份,600887,1996-03-15,-5.72,-5.72,-5.72,-5.73,16996,13792000.0,-0.17,0.0,0.0,9.44
伊利股份,600887,1996-03-18,-5.72,-5.72,-5.72,-5.72,40583,34665000.0,0.0,0.0,0.0,22.55
伊利股份,600887,1996-03-19,-5.72,-5.72,-5.72,-5.72,20777,17767000.0,0.0,0.0,0.0,11.54
伊利股份,600887,1996-03-20,-5.72,-5.71,-5.71,-5.72,35039,30722000.0,-0.17,0.17,0.01,19.47
伊利股份,600887,1996-03-21,-5.71,-5.72,-5.71,-5.72,43804,39093000.0,-0.18,-0.18,-0.01,24.34
伊利股份,600887,1996-03-22,-5.72,-5.72,-5.72,-5.72,21468,18629000.0,0.0,0.0,0.0,11.93
伊利股份,600887,1996-03-25,-5.71,-5.72,-5.71,-5.72,13094,11377000.0,-0.17,0.0,0.0,7.27
伊利股份,600887,1996-03-26,-5.72,-5.72,-5.72,-5.72,12669,10807000.0,0.0,0.0,0.0,7.04
伊利股份,600887,1996-03-27,-5.72,-5.72,-5.72,-5.72,11467,9721000.0,0.0,0.0,0.0,6.37
伊利股份,600887,1996-03-28,-5.72,-5.72,-5.72,-5.72,7915,6677000.0,0.0,0.0,0.0,4.4
伊利股份,600887,1996-03-29,-5.72,-5.72,-5.72,-5.72,9519,7877000.0,0.0,0.0,0.0,5.29
伊利股份,600887,1996-04-01,-5.72,-5.72,-5.72,-5.72,13179,11217000.0,0.0,0.0,0.0,7.32
伊利股份,600887,1996-04-02,-5.72,-5.72,-5.72,-5.72,5159,4274000.0,0.0,0.0,0.0,2.87
伊利股份,600887,1996-04-03,-5.72,-5.72,-5.72,-5.72,1980,1649000.0,0.0,0.0,0.0,1.1
伊利股份,600887,1996-04-04,-5.72,-5.72,-5.72,-5.72,2299,1922886.0,0.0,0.0,0.0,1.28
伊利股份,600887,1996-04-05,-5.72,-5.72,-5.72,-5.72,18151,15472000.0,0.0,0.0,0.0,10.08
伊利股份,600887,1996-04-08,-5.72,-5.72,-5.72,-5.72,19427,16787000.0,0.0,0.0,0.0,10.79
伊利股份,600887,1996-04-09,-5.72,-5.72,-5.72,-5.72,5293,4534000.0,0.0,0.0,0.0,2.94
伊利股份,600887,1996-04-10,-5.72,-5.72,-5.72,-5.72,7989,6887000.0,0.0,0.0,0.0,4.44
伊利股份,600887,1996-04-11,-5.72,-5.72,-5.72,-5.72,6233,5325000.0,0.0,0.0,0.0,3.46
伊利股份,600887,1996-04-12,-5.72,-5.72,-5.72,-5.72,9666,8334000.0,0.0,0.0,0.0,5.37
伊利股份,600887,1996-04-15,-5.72,-5.72,-5.72,-5.72,5842,4928000.0,0.0,0.0,0.0,3.25
伊利股份,600887,1996-04-16,-5.72,-5.72,-5.72,-5.72,3379,2857000.0,0.0,0.0,0.0,1.88
伊利股份,600887,1996-04-17,-5.72,-5.72,-5.72,-5.72,7169,6106000.0,0.0,0.0,0.0,3.98
伊利股份,600887,1996-04-18,-5.72,-5.72,-5.72,-5.72,9055,7865000.0,0.0,0.0,0.0,5.03
伊利股份,600887,1996-04-19,-5.72,-5.71,-5.71,-5.72,36415,33413000.0,-0.17,0.17,0.01,20.23
伊利股份,600887,1996-04-22,-5.71,-5.71,-5.71,-5.71,31624,29201000.0,0.0,0.0,0.0,17.57
伊利股份,600887,1996-04-23,-5.71,-5.71,-5.71,-5.71,13028,11647000.0,0.0,0.0,0.0,7.24
伊利股份,600887,1996-04-24,-5.71,-5.7,-5.7,-5.71,34939,33098000.0,-0.18,0.18,0.01,19.41
伊利股份,600887,1996-04-25,-5.7,-5.71,-5.7,-5.71,22910,21611000.0,-0.18,-0.18,-0.01,12.73
伊利股份,600887,1996-04-26,-5.71,-5.7,-5.69,-5.71,51266,50632000.0,-0.35,0.18,0.01,28.48
伊利股份,600887,1996-04-29,-5.69,-5.69,-5.69,-5.7,23845,24687902.0,-0.18,0.18,0.01,13.25
伊利股份,600887,1996-04-30,-5.69,-5.71,-5.69,-5.71,18291,17820000.0,-0.35,-0.35,-0.02,10.16
伊利股份,600887,1996-05-02,-5.7,-5.72,-5.7,-5.72,15052,13980000.0,-0.35,-0.18,-0.01,8.36
伊利股份,600887,1996-05-03,-5.71,-5.71,-5.71,-5.72,12961,11494000.0,-0.17,0.17,0.01,7.2
伊利股份,600887,1996-05-06,-5.71,-5.71,-5.71,-5.71,9278,8486000.0,0.0,0.0,0.0,5.15
伊利股份,600887,1996-05-07,-5.71,-5.71,-5.71,-5.71,8995,8188000.0,0.0,0.0,0.0,5.0
伊利股份,600887,1996-05-09,-5.71,-5.72,-5.71,-5.72,6485,5719000.0,-0.18,-0.18,-0.01,3.6
伊利股份,600887,1996-05-10,-5.72,-5.72,-5.71,-5.72,4614,3981000.0,-0.17,0.0,0.0,2.56
