股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
保利发展,600048,2006-07-31,-3.29,-3.27,-3.22,-3.37,936173,1846673451.0,-4.1,10.66,0.39,78.01
保利发展,600048,2006-08-01,-3.29,-3.25,-3.19,-3.33,258659,528773490.0,-4.28,0.61,0.02,21.55
保利发展,600048,2006-08-02,-3.26,-3.19,-3.16,-3.27,214499,456345122.0,-3.38,1.85,0.06,17.87
保利发展,600048,2006-08-03,-3.19,-3.2,-3.18,-3.24,116327,245761785.0,-1.88,-0.31,-0.01,9.69
保利发展,600048,2006-08-04,-3.21,-3.18,-3.15,-3.23,145763,314332907.0,-2.5,0.63,0.02,12.15
保利发展,600048,2006-08-07,-3.17,-3.11,-3.08,-3.19,143234,321071292.0,-3.46,2.2,0.07,11.94
保利发展,600048,2006-08-08,-3.1,-3.09,-3.06,-3.13,96799,220951074.0,-2.25,0.64,0.02,8.07
保利发展,600048,2006-08-09,-3.1,-3.15,-3.1,-3.17,93288,207184810.0,-2.27,-1.94,-0.06,7.77
保利发展,600048,2006-08-10,-3.16,-3.14,-3.13,-3.18,85559,187582267.0,-1.59,0.32,0.01,7.13
保利发展,600048,2006-08-11,-3.14,-3.04,-3.03,-3.15,121813,282284394.0,-3.82,3.18,0.1,10.15
保利发展,600048,2006-08-14,-3.02,-3.04,-3.0,-3.07,112827,269495630.0,-2.3,0.0,0.0,9.4
保利发展,600048,2006-08-15,-3.07,-3.0,-2.99,-3.09,115755,273770349.0,-3.29,1.32,0.04,9.65
保利发展,600048,2006-08-16,-3.0,-3.02,-2.98,-3.03,76422,185399650.0,-1.67,-0.67,-0.02,6.37
保利发展,600048,2006-08-17,-3.03,-3.04,-2.99,-3.05,64623,155574377.0,-1.99,-0.66,-0.02,5.39
保利发展,600048,2006-08-18,-3.04,-3.05,-3.02,-3.06,47658,113198276.0,-1.32,-0.33,-0.01,3.97
保利发展,600048,2006-08-21,-3.11,-3.06,-3.04,-3.11,56877,132309559.0,-2.3,-0.33,-0.01,4.74
保利发展,600048,2006-08-22,-3.06,-3.06,-3.02,-3.07,37761,89607216.0,-1.63,0.0,0.0,3.15
保利发展,600048,2006-08-23,-3.06,-3.07,-3.04,-3.09,47161,110003223.0,-1.63,-0.33,-0.01,3.93
保利发展,600048,2006-08-24,-3.07,-3.01,-3.01,-3.08,63779,153027192.0,-2.28,1.95,0.06,5.31
保利发展,600048,2006-08-25,-3.01,-3.03,-3.0,-3.03,37864,91328541.0,-1.0,-0.66,-0.02,3.16
保利发展,600048,2006-08-28,-3.02,-2.88,-2.88,-3.03,96114,245851927.0,-4.95,4.95,0.15,8.01
保利发展,600048,2006-08-29,-2.83,-2.85,-2.79,-2.88,109932,296459734.0,-3.13,1.04,0.03,9.16
保利发展,600048,2006-08-30,-2.87,-2.72,-2.69,-2.88,101221,284170112.0,-6.67,4.56,0.13,8.44
保利发展,600048,2006-08-31,-2.73,-2.71,-2.69,-2.74,68685,197908862.0,-1.84,0.37,0.01,5.72
保利发展,600048,2006-09-01,-2.71,-2.71,-2.59,-2.72,87260,260194248.0,-4.8,0.0,0.0,7.27
保利发展,600048,2006-09-04,-2.71,-2.68,-2.66,-2.74,69114,200658949.0,-2.95,1.11,0.03,5.76
保利发展,600048,2006-09-05,-2.69,-2.73,-2.62,-2.74,68019,198559690.0,-4.48,-1.87,-0.05,5.67
保利发展,600048,2006-09-06,-2.72,-2.75,-2.72,-2.81,69102,193934511.0,-3.3,-0.73,-0.02,5.76
保利发展,600048,2006-09-07,-2.76,-2.74,-2.72,-2.77,39870,113504041.0,-1.82,0.36,0.01,3.32
保利发展,600048,2006-09-08,-2.73,-2.73,-2.66,-2.74,51206,149630110.0,-2.92,0.36,0.01,4.27
保利发展,600048,2006-09-11,-2.72,-2.73,-2.7,-2.79,46307,131300049.0,-3.3,0.0,0.0,3.86
保利发展,600048,2006-09-12,-2.73,-2.72,-2.7,-2.75,36261,104334953.0,-1.83,0.37,0.01,3.02
保利发展,600048,2006-09-13,-2.71,-2.77,-2.7,-2.78,33251,94641762.0,-2.94,-1.84,-0.05,2.77
保利发展,600048,2006-09-14,-2.79,-2.75,-2.75,-2.81,48880,135815705.0,-2.17,0.72,0.02,4.07
保利发展,600048,2006-09-15,-2.76,-2.75,-2.73,-2.78,33657,95266407.0,-1.82,0.0,0.0,2.8
保利发展,600048,2006-09-18,-2.75,-2.73,-2.7,-2.75,31893,91568044.0,-1.82,0.73,0.02,2.66
保利发展,600048,2006-09-19,-2.73,-2.77,-2.73,-2.77,38133,107725480.0,-1.47,-1.47,-0.04,3.18
保利发展,600048,2006-09-20,-2.77,-2.68,-2.63,-2.77,86434,253955779.0,-5.05,3.25,0.09,7.2
保利发展,600048,2006-09-22,-2.66,-2.68,-2.64,-2.71,40301,118963691.0,-2.61,0.0,0.0,3.36
保利发展,600048,2006-09-25,-2.69,-2.73,-2.65,-2.75,40536,118034794.0,-3.73,-1.87,-0.05,3.38
保利发展,600048,2006-09-26,-2.74,-2.81,-2.73,-2.84,62579,172464203.0,-4.03,-2.93,-0.08,5.21
保利发展,600048,2006-09-27,-2.81,-2.81,-2.79,-2.84,21231,57882882.0,-1.78,0.0,0.0,1.77
保利发展,600048,2006-09-28,-2.81,-2.79,-2.75,-2.83,41366,115213419.0,-2.85,0.71,0.02,3.45
保利发展,600048,2006-09-29,-2.79,-2.79,-2.74,-2.8,31362,87822953.0,-2.15,0.0,0.0,2.61
保利发展,600048,2006-10-09,-2.78,-2.78,-2.76,-2.82,59692,164735903.0,-2.15,0.36,0.01,4.97
保利发展,600048,2006-10-10,-2.79,-2.88,-2.78,-2.91,111080,295139109.0,-4.68,-3.6,-0.1,9.26
保利发展,600048,2006-10-11,-2.9,-2.89,-2.88,-2.92,54067,140700975.0,-1.39,-0.35,-0.01,4.51
保利发展,600048,2006-10-12,-2.89,-2.94,-2.89,-2.95,54048,137874867.0,-2.08,-1.73,-0.05,4.5
保利发展,600048,2006-10-13,-2.95,-2.92,-2.91,-2.96,26059,66650290.0,-1.7,0.68,0.02,2.17
保利发展,600048,2006-10-16,-2.94,-2.93,-2.92,-2.97,28255,71311373.0,-1.71,-0.34,-0.01,2.35
保利发展,600048,2006-10-17,-2.94,-2.91,-2.87,-2.95,36716,95723135.0,-2.73,0.68,0.02,3.06
保利发展,600048,2006-10-18,-2.9,-2.84,-2.84,-2.93,47966,127023358.0,-3.09,2.41,0.07,4.0
保利发展,600048,2006-10-19,-2.84,-2.87,-2.84,-2.88,34113,90670827.0,-1.41,-1.06,-0.03,2.84
保利发展,600048,2006-10-20,-2.88,-2.84,-2.83,-2.88,29627,79394905.0,-1.74,1.05,0.03,2.47
保利发展,600048,2006-10-23,-2.84,-2.88,-2.84,-2.88,25352,67270580.0,-1.41,-1.41,-0.04,2.11
保利发展,600048,2006-10-24,-2.88,-2.79,-2.78,-2.88,47349,129492253.0,-3.47,3.13,0.09,3.95
保利发展,600048,2006-10-25,-2.8,-2.81,-2.77,-2.82,27710,76837059.0,-1.79,-0.72,-0.02,2.31
保利发展,600048,2006-10-26,-2.81,-2.76,-2.73,-2.84,58900,165432430.0,-3.91,1.78,0.05,4.91
保利发展,600048,2006-10-27,-2.76,-2.76,-2.71,-2.78,36692,104913435.0,-2.54,0.0,0.0,3.06
保利发展,600048,2006-10-30,-2.77,-2.8,-2.75,-2.84,32521,89936825.0,-3.26,-1.45,-0.04,2.71
