股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
兆易创新,603986,2016-08-18,3.05,4.06,4.06,3.05,74,247268.0,45.91,84.55,1.86,0.03
兆易创新,603986,2016-08-19,4.67,4.67,4.67,4.67,5,18420.0,0.0,15.02,0.61,0.0
兆易创新,603986,2016-08-22,5.34,5.34,5.34,5.34,29,117508.0,0.0,14.35,0.67,0.01
兆易创新,603986,2016-08-23,6.08,6.08,6.08,6.08,11,49027.0,0.0,13.86,0.74,0.0
兆易创新,603986,2016-08-24,6.89,6.89,6.89,6.89,46,225538.0,0.0,13.32,0.81,0.02
兆易创新,603986,2016-08-25,7.79,7.79,7.79,7.79,72,386139.0,0.0,13.06,0.9,0.03
兆易创新,603986,2016-08-26,8.77,8.77,8.77,8.77,55,326260.0,0.0,12.58,0.98,0.02
兆易创新,603986,2016-08-29,9.85,9.85,9.85,9.85,140,915653.0,0.0,12.31,1.08,0.06
兆易创新,603986,2016-08-30,11.04,11.04,11.04,11.04,151,1085242.0,0.0,12.08,1.19,0.06
兆易创新,603986,2016-08-31,12.35,12.35,12.35,12.35,281,2215933.0,0.0,11.87,1.31,0.11
兆易创新,603986,2016-09-01,13.79,13.79,13.79,13.79,128,1112850.0,0.0,11.66,1.44,0.05
兆易创新,603986,2016-09-02,15.37,15.37,15.37,15.37,693,6622762.0,0.0,11.46,1.58,0.28
兆易创新,603986,2016-09-05,17.11,17.11,17.11,17.11,695,7307142.0,0.0,11.32,1.74,0.28
兆易创新,603986,2016-09-06,19.03,19.03,19.03,19.03,546,6313777.0,0.0,11.22,1.92,0.22
兆易创新,603986,2016-09-07,21.14,21.14,21.14,21.14,1366,17376349.0,0.0,11.09,2.11,0.55
兆易创新,603986,2016-09-08,23.45,23.45,23.45,23.45,1745,24410871.0,0.0,10.93,2.31,0.7
兆易创新,603986,2016-09-09,26.0,26.0,26.0,26.0,1812,27883637.0,0.0,10.87,2.55,0.72
兆易创新,603986,2016-09-12,28.81,28.81,28.81,28.81,48831,826616928.0,0.0,10.81,2.81,19.53
兆易创新,603986,2016-09-13,31.45,29.18,31.45,28.63,159508,2822922752.0,9.79,1.28,0.37,63.8
兆易创新,603986,2016-09-14,30.23,30.39,32.3,30.21,104110,1887215104.0,7.16,4.15,1.21,41.64
兆易创新,603986,2017-03-13,33.63,33.63,33.63,33.63,18119,354712336.0,0.0,10.66,3.24,7.25
兆易创新,603986,2017-03-14,37.2,37.2,37.2,37.2,1038,22363021.0,0.0,10.62,3.57,0.42
兆易创新,603986,2017-03-15,41.13,41.13,41.13,39.87,55196,1307287936.0,3.39,10.56,3.93,22.08
兆易创新,603986,2017-03-16,41.67,42.76,44.4,40.42,89709,2174609312.0,9.68,3.96,1.63,35.88
兆易创新,603986,2017-03-17,42.33,38.92,42.52,38.28,72411,1682976496.0,9.92,-8.98,-3.84,28.96
兆易创新,603986,2017-03-20,38.07,37.29,39.46,36.9,38826,849272192.0,6.58,-4.19,-1.63,15.53
兆易创新,603986,2017-03-21,37.48,37.51,38.86,37.32,32911,721964624.0,4.13,0.59,0.22,13.16
兆易创新,603986,2017-03-22,36.77,39.59,39.98,36.59,46761,1049851264.0,9.04,5.55,2.08,18.7
兆易创新,603986,2017-03-23,39.6,35.45,39.97,35.43,53918,1160365264.0,11.47,-10.46,-4.14,21.57
