股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
农业银行,601288,2010-07-15,0.78,0.74,0.78,0.73,40397252,10949613782.0,6.94,2.78,0.02,39.18
农业银行,601288,2010-07-16,0.74,0.73,0.74,0.72,13789551,3707551294.0,2.7,-1.35,-0.01,13.37
农业银行,601288,2010-07-19,0.72,0.75,0.75,0.72,11467383,3088010379.0,4.11,2.74,0.02,11.12
农业银行,601288,2010-07-20,0.74,0.75,0.75,0.73,8442261,2278829237.0,2.67,0.0,0.0,8.19
农业银行,601288,2010-07-21,0.74,0.75,0.75,0.73,6220943,1678918049.0,2.67,0.0,0.0,6.03
农业银行,601288,2010-07-22,0.74,0.77,0.79,0.73,10651226,2895029118.0,8.0,2.67,0.02,10.33
农业银行,601288,2010-07-23,0.77,0.85,0.88,0.77,17927829,5001163717.0,14.29,10.39,0.08,17.39
农业银行,601288,2010-07-26,0.87,0.84,0.88,0.81,7046939,1974873434.0,8.24,-1.18,-0.01,6.83
农业银行,601288,2010-07-27,0.83,0.82,0.84,0.81,3844840,1070439990.0,3.57,-2.38,-0.02,3.73
农业银行,601288,2010-07-28,0.82,0.88,0.89,0.82,7969171,2248740081.0,8.54,7.32,0.06,7.73
农业银行,601288,2010-07-29,0.88,0.87,0.92,0.85,8945884,2542991631.0,7.95,-1.14,-0.01,8.68
农业银行,601288,2010-07-30,0.86,0.83,0.86,0.81,5106246,1423707806.0,5.75,-4.6,-0.04,4.95
农业银行,601288,2010-08-02,0.82,0.84,0.85,0.81,5215746,1454410936.0,4.82,1.2,0.01,5.06
农业银行,601288,2010-08-03,0.84,0.77,0.85,0.77,5667042,1568202174.0,9.52,-8.33,-0.07,5.5
农业银行,601288,2010-08-04,0.77,0.77,0.79,0.74,4138635,1127311960.0,6.49,0.0,0.0,4.01
农业银行,601288,2010-08-05,0.77,0.76,0.77,0.75,3355002,911158946.0,2.6,-1.3,-0.01,3.25
农业银行,601288,2010-08-06,0.76,0.76,0.77,0.74,3280149,891315216.0,3.95,0.0,0.0,3.18
农业银行,601288,2010-08-09,0.76,0.76,0.77,0.74,4598876,1246015558.0,3.95,0.0,0.0,4.46
农业银行,601288,2010-08-10,0.75,0.73,0.76,0.72,5066835,1364669770.0,5.26,-3.95,-0.03,4.91
农业银行,601288,2010-08-11,0.73,0.73,0.74,0.72,4681194,1258909839.0,2.74,0.0,0.0,4.54
农业银行,601288,2010-08-12,0.72,0.72,0.73,0.72,5115667,1372025969.0,1.37,-1.37,-0.01,4.96
农业银行,601288,2010-08-13,0.72,0.73,0.73,0.72,6615541,1774477668.0,1.39,1.39,0.01,6.42
农业银行,601288,2010-08-16,0.72,0.75,0.76,0.72,3865492,1043020826.0,5.48,2.74,0.02,3.75
农业银行,601288,2010-08-17,0.74,0.73,0.74,0.72,3327281,894785929.0,2.67,-2.67,-0.02,3.23
农业银行,601288,2010-08-18,0.73,0.73,0.75,0.72,3959871,1065636651.0,4.11,0.0,0.0,3.84
农业银行,601288,2010-08-19,0.73,0.73,0.74,0.72,4142537,1113238225.0,2.74,0.0,0.0,4.02
农业银行,601288,2010-08-20,0.72,0.72,0.73,0.72,4295121,1151677302.0,1.37,-1.37,-0.01,4.17
农业银行,601288,2010-08-23,0.72,0.72,0.73,0.72,1466815,393475945.0,1.39,0.0,0.0,1.42
农业银行,601288,2010-08-24,0.72,0.73,0.74,0.72,2563052,688912741.0,2.78,1.39,0.01,2.49
农业银行,601288,2010-08-25,0.72,0.72,0.73,0.72,3366945,902581625.0,1.37,-1.37,-0.01,3.27
农业银行,601288,2010-08-26,0.72,0.73,0.73,0.72,1727321,463500799.0,1.39,1.39,0.01,1.68
农业银行,601288,2010-08-27,0.73,0.73,0.73,0.72,1534878,411906555.0,1.37,0.0,0.0,1.49
农业银行,601288,2010-08-30,0.73,0.74,0.75,0.72,3661374,986902618.0,4.11,1.37,0.01,3.55
农业银行,601288,2010-08-31,0.74,0.73,0.74,0.72,2288977,615761228.0,2.7,-1.35,-0.01,2.22
农业银行,601288,2010-09-01,0.72,0.72,0.74,0.72,3136430,842476714.0,2.74,-1.37,-0.01,3.04
农业银行,601288,2010-09-02,0.73,0.73,0.73,0.72,1676089,449766181.0,1.39,1.39,0.01,1.63
农业银行,601288,2010-09-03,0.73,0.73,0.74,0.72,2825241,758869045.0,2.74,0.0,0.0,2.74
农业银行,601288,2010-09-06,0.73,0.74,0.74,0.72,2439620,656577623.0,2.74,1.37,0.01,2.37
农业银行,601288,2010-09-07,0.74,0.73,0.74,0.72,1712861,460782492.0,2.7,-1.35,-0.01,1.66
农业银行,601288,2010-09-08,0.72,0.74,0.74,0.72,2253965,605671724.0,2.74,1.37,0.01,2.19
农业银行,601288,2010-09-09,0.73,0.73,0.74,0.72,2232502,599339497.0,2.7,-1.35,-0.01,2.17
农业银行,601288,2010-09-10,0.72,0.73,0.74,0.72,2849696,765617295.0,2.74,0.0,0.0,2.76
农业银行,601288,2010-09-13,0.73,0.74,0.74,0.72,2973850,800205139.0,2.74,1.37,0.01,2.88
农业银行,601288,2010-09-14,0.73,0.73,0.74,0.72,2182471,587166568.0,2.7,-1.35,-0.01,2.12
农业银行,601288,2010-09-15,0.73,0.72,0.73,0.72,1797044,481997209.0,1.37,-1.37,-0.01,1.74
农业银行,601288,2010-09-16,0.72,0.67,0.73,0.65,5433751,1437568886.0,11.11,-6.94,-0.05,5.27
农业银行,601288,2010-09-17,0.66,0.64,0.67,0.61,2606874,676648550.0,8.96,-4.48,-0.03,2.53
农业银行,601288,2010-09-20,0.64,0.64,0.66,0.62,1653959,429141735.0,6.25,0.0,0.0,1.6
农业银行,601288,2010-09-21,0.64,0.63,0.65,0.63,752219,195137107.0,3.13,-1.56,-0.01,0.73
农业银行,601288,2010-09-27,0.64,0.63,0.64,0.61,961037,248183687.0,4.76,0.0,0.0,0.93
农业银行,601288,2010-09-28,0.62,0.61,0.63,0.61,888310,228960485.0,3.17,-3.17,-0.02,0.86
农业银行,601288,2010-09-29,0.61,0.57,0.62,0.56,1394755,355972075.0,9.84,-6.56,-0.04,1.35
农业银行,601288,2010-09-30,0.57,0.65,0.68,0.57,2524758,657088029.0,19.3,14.04,0.08,2.45
农业银行,601288,2010-10-08,0.68,0.71,0.73,0.66,3442118,916298558.0,10.77,9.23,0.06,3.34
农业银行,601288,2010-10-11,0.71,0.74,0.77,0.69,5725405,1543154227.0,11.27,4.23,0.03,5.55
农业银行,601288,2010-10-12,0.72,0.72,0.73,0.7,2194686,587754681.0,4.05,-2.7,-0.02,2.13
