股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
北方稀土,600111,1997-09-24,-0.56,-0.52,-0.52,-0.58,431770,318996000.0,-8.11,29.73,0.22,59.97
北方稀土,600111,1997-09-25,-0.53,-0.5,-0.5,-0.54,270617,214516000.0,-7.69,3.85,0.02,37.59
北方稀土,600111,1997-09-26,-0.5,-0.5,-0.5,-0.52,182559,149197000.0,-4.0,0.0,0.0,25.36
北方稀土,600111,1997-09-29,-0.51,-0.55,-0.51,-0.55,129953,100832000.0,-8.0,-10.0,-0.05,18.05
北方稀土,600111,1997-09-30,-0.55,-0.54,-0.53,-0.56,87701,67177000.0,-5.45,1.82,0.01,12.18
北方稀土,600111,1997-10-06,-0.54,-0.55,-0.53,-0.55,39023,29625000.0,-3.7,-1.85,-0.01,5.42
北方稀土,600111,1997-10-07,-0.55,-0.53,-0.53,-0.55,35576,27191000.0,-3.64,3.64,0.02,4.94
北方稀土,600111,1997-10-08,-0.52,-0.51,-0.51,-0.53,87570,70561000.0,-3.77,3.77,0.02,12.16
北方稀土,600111,1997-10-09,-0.51,-0.52,-0.5,-0.53,54288,43472000.0,-5.88,-1.96,-0.01,7.54
北方稀土,600111,1997-10-10,-0.53,-0.5,-0.49,-0.53,105607,87705000.0,-7.69,3.85,0.02,14.67
北方稀土,600111,1997-10-13,-0.5,-0.5,-0.49,-0.51,60019,50070000.0,-4.0,0.0,0.0,8.34
北方稀土,600111,1997-10-14,-0.5,-0.5,-0.5,-0.52,49620,40438000.0,-4.0,0.0,0.0,6.89
北方稀土,600111,1997-10-15,-0.5,-0.51,-0.49,-0.51,31883,26213000.0,-4.0,-2.0,-0.01,4.43
北方稀土,600111,1997-10-16,-0.51,-0.49,-0.48,-0.51,58390,49123000.0,-5.88,3.92,0.02,8.11
北方稀土,600111,1997-10-17,-0.49,-0.48,-0.46,-0.5,98169,84671000.0,-8.16,2.04,0.01,13.63
北方稀土,600111,1997-10-20,-0.47,-0.47,-0.46,-0.48,80475,70815000.0,-4.17,2.08,0.01,11.18
北方稀土,600111,1997-10-21,-0.46,-0.47,-0.46,-0.48,61960,54176000.0,-4.26,0.0,0.0,8.61
北方稀土,600111,1997-10-22,-0.47,-0.49,-0.46,-0.49,77251,66147000.0,-6.38,-4.26,-0.02,10.73
北方稀土,600111,1997-10-23,-0.49,-0.49,-0.48,-0.5,50416,42917000.0,-4.08,0.0,0.0,7.0
北方稀土,600111,1997-10-24,-0.49,-0.49,-0.48,-0.5,34234,28751000.0,-4.08,0.0,0.0,4.75
北方稀土,600111,1997-10-27,-0.49,-0.44,-0.44,-0.5,73862,65264000.0,-12.24,10.2,0.05,10.26
北方稀土,600111,1997-10-28,-0.43,-0.44,-0.4,-0.46,170965,163330000.0,-13.64,0.0,0.0,23.75
北方稀土,600111,1997-10-29,-0.44,-0.42,-0.42,-0.45,82079,77761000.0,-6.82,4.55,0.02,11.4
北方稀土,600111,1997-10-30,-0.42,-0.42,-0.39,-0.43,91596,89635000.0,-9.52,0.0,0.0,12.72
北方稀土,600111,1997-10-31,-0.43,-0.43,-0.42,-0.45,45094,42199000.0,-7.14,-2.38,-0.01,6.26
北方稀土,600111,1997-11-03,-0.44,-0.44,-0.43,-0.45,24278,22476000.0,-4.65,-2.33,-0.01,3.37
北方稀土,600111,1997-11-04,-0.45,-0.43,-0.43,-0.45,21384,19923000.0,-4.55,2.27,0.01,2.97
北方稀土,600111,1997-11-05,-0.43,-0.43,-0.43,-0.44,9168,8528962.0,-2.33,0.0,0.0,1.27
北方稀土,600111,1997-11-06,-0.43,-0.45,-0.42,-0.45,25142,23418000.0,-6.98,-4.65,-0.02,3.49
北方稀土,600111,1997-11-07,-0.45,-0.44,-0.44,-0.46,23514,21452000.0,-4.44,2.22,0.01,3.27
北方稀土,600111,1997-11-10,-0.44,-0.44,-0.41,-0.45,30325,28613000.0,-9.09,0.0,0.0,4.21
北方稀土,600111,1997-11-11,-0.44,-0.45,-0.43,-0.46,18957,17306000.0,-6.82,-2.27,-0.01,2.63
北方稀土,600111,1997-11-12,-0.44,-0.44,-0.43,-0.46,20539,18977000.0,-6.67,2.22,0.01,2.85
北方稀土,600111,1997-11-13,-0.44,-0.44,-0.44,-0.46,19365,17626000.0,-4.55,0.0,0.0,2.69
北方稀土,600111,1997-11-14,-0.44,-0.43,-0.41,-0.45,53080,50610000.0,-9.09,2.27,0.01,7.37
北方稀土,600111,1997-11-17,-0.41,-0.44,-0.41,-0.44,24256,23172000.0,-6.98,-2.33,-0.01,3.37
北方稀土,600111,1997-11-18,-0.42,-0.43,-0.42,-0.44,15859,15038000.0,-4.55,2.27,0.01,2.2
北方稀土,600111,1997-11-19,-0.43,-0.44,-0.43,-0.45,14630,13502000.0,-4.65,-2.33,-0.01,2.03
北方稀土,600111,1997-11-20,-0.44,-0.45,-0.44,-0.45,15729,14382000.0,-2.27,-2.27,-0.01,2.18
北方稀土,600111,1997-11-21,-0.45,-0.47,-0.45,-0.48,22639,20246000.0,-6.67,-4.44,-0.02,3.14
北方稀土,600111,1997-11-24,-0.52,-0.5,-0.48,-0.52,20532,17158000.0,-8.51,-6.38,-0.03,2.85
北方稀土,600111,1997-11-25,-0.51,-0.49,-0.49,-0.51,12728,10554000.0,-4.0,2.0,0.01,1.77
北方稀土,600111,1997-11-26,-0.49,-0.48,-0.48,-0.5,8379,7063000.0,-4.08,2.04,0.01,1.16
北方稀土,600111,1997-11-27,-0.49,-0.5,-0.49,-0.51,11717,9777000.0,-4.17,-4.17,-0.02,1.63
北方稀土,600111,1997-11-28,-0.51,-0.49,-0.49,-0.51,11932,9804000.0,-4.0,2.0,0.01,1.66
北方稀土,600111,1997-12-01,-0.5,-0.5,-0.5,-0.51,7495,6174000.0,-2.04,-2.04,-0.01,1.04
北方稀土,600111,1997-12-02,-0.5,-0.5,-0.49,-0.51,5274,4351000.0,-4.0,0.0,0.0,0.73
北方稀土,600111,1997-12-03,-0.5,-0.51,-0.5,-0.51,7187,5853000.0,-2.0,-2.0,-0.01,1.0
北方稀土,600111,1997-12-04,-0.51,-0.5,-0.49,-0.51,7478,6164000.0,-3.92,1.96,0.01,1.04
北方稀土,600111,1997-12-05,-0.49,-0.5,-0.48,-0.5,10428,8784000.0,-4.0,0.0,0.0,1.45
北方稀土,600111,1997-12-08,-0.49,-0.49,-0.48,-0.5,8236,6996000.0,-4.0,2.0,0.01,1.14
北方稀土,600111,1997-12-09,-0.48,-0.48,-0.48,-0.49,7737,6585000.0,-2.04,2.04,0.01,1.07
北方稀土,600111,1997-12-10,-0.48,-0.49,-0.48,-0.49,6929,5907000.0,-2.08,-2.08,-0.01,0.96
北方稀土,600111,1997-12-11,-0.49,-0.5,-0.49,-0.5,6008,5003000.0,-2.04,-2.04,-0.01,0.83
北方稀土,600111,1997-12-12,-0.5,-0.49,-0.48,-0.5,8385,7081000.0,-4.0,2.0,0.01,1.16
北方稀土,600111,1997-12-15,-0.5,-0.47,-0.46,-0.5,24094,21111000.0,-8.16,4.08,0.02,3.35
北方稀土,600111,1997-12-16,-0.46,-0.46,-0.45,-0.46,24706,22196000.0,-2.13,2.13,0.01,3.43
北方稀土,600111,1997-12-17,-0.46,-0.48,-0.46,-0.48,17830,15517000.0,-4.35,-4.35,-0.02,2.48
北方稀土,600111,1997-12-18,-0.49,-0.48,-0.47,-0.49,9238,7964000.0,-4.17,0.0,0.0,1.28
北方稀土,600111,1997-12-19,-0.48,-0.48,-0.48,-0.49,7204,6178000.0,-2.08,0.0,0.0,1.0
北方稀土,600111,1997-12-22,-0.48,-0.47,-0.46,-0.49,16869,14604000.0,-6.25,2.08,0.01,2.34
北方稀土,600111,1997-12-23,-0.46,-0.48,-0.46,-0.48,9853,8599000.0,-4.26,-2.13,-0.01,1.37
北方稀土,600111,1997-12-24,-0.47,-0.46,-0.45,-0.48,26283,23564000.0,-6.25,4.17,0.02,3.65
北方稀土,600111,1997-12-25,-0.46,-0.46,-0.45,-0.46,16784,15131000.0,-2.17,0.0,0.0,2.33
北方稀土,600111,1997-12-26,-0.46,-0.46,-0.45,-0.47,22773,20460000.0,-4.35,0.0,0.0,3.16
北方稀土,600111,1997-12-29,-0.46,-0.46,-0.44,-0.46,14038,12816000.0,-4.35,0.0,0.0,1.95
北方稀土,600111,1997-12-30,-0.46,-0.47,-0.45,-0.48,9746,8614000.0,-6.52,-2.17,-0.01,1.35
北方稀土,600111,1997-12-31,-0.46,-0.46,-0.46,-0.47,12296,10906000.0,-2.13,2.13,0.01,1.71
北方稀土,600111,1998-01-05,-0.46,-0.44,-0.43,-0.47,31498,28929000.0,-8.7,4.35,0.02,4.37
北方稀土,600111,1998-01-06,-0.44,-0.44,-0.44,-0.46,18411,16782000.0,-4.55,0.0,0.0,2.56
北方稀土,600111,1998-01-07,-0.45,-0.43,-0.43,-0.46,29849,27616000.0,-6.82,2.27,0.01,4.15
北方稀土,600111,1998-01-08,-0.43,-0.4,-0.38,-0.44,69050,68159000.0,-13.95,6.98,0.03,9.59
北方稀土,600111,1998-01-09,-0.4,-0.39,-0.36,-0.4,84677,86702000.0,-10.0,2.5,0.01,11.76
北方稀土,600111,1998-01-12,-0.38,-0.41,-0.37,-0.41,38911,39430000.0,-10.26,-5.13,-0.02,5.4
北方稀土,600111,1998-01-13,-0.42,-0.45,-0.42,-0.47,47845,44160000.0,-12.2,-9.76,-0.04,6.65
北方稀土,600111,1998-01-14,-0.45,-0.43,-0.42,-0.45,27522,25866000.0,-6.67,4.44,0.02,3.82
