股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
复星医药,600196,1998-08-07,-1.44,-1.46,-1.39,-1.56,339119,830343000.0,-5.67,51.33,1.54,75.36
复星医药,600196,1998-08-10,-1.47,-1.49,-1.37,-1.5,100862,251848000.0,-8.9,-2.05,-0.03,22.41
复星医药,600196,1998-08-11,-1.5,-1.69,-1.46,-1.7,93031,215718000.0,-16.11,-13.42,-0.2,20.67
复星医药,600196,1998-08-12,-1.7,-1.6,-1.56,-1.72,61541,139518000.0,-9.47,5.33,0.09,13.68
复星医药,600196,1998-08-13,-1.6,-1.6,-1.52,-1.63,50915,119777000.0,-6.88,0.0,0.0,11.31
复星医药,600196,1998-08-14,-1.62,-1.71,-1.59,-1.74,45030,100257000.0,-9.38,-6.88,-0.11,10.01
复星医药,600196,1998-08-17,-1.74,-1.82,-1.71,-1.87,44352,91563000.0,-9.36,-6.43,-0.11,9.86
复星医药,600196,1998-08-18,-1.83,-1.66,-1.66,-1.85,45912,98575000.0,-10.44,8.79,0.16,10.2
复星医药,600196,1998-08-19,-1.67,-1.65,-1.6,-1.71,33828,76198000.0,-6.63,0.6,0.01,7.52
复星医药,600196,1998-08-20,-1.65,-1.67,-1.62,-1.7,20975,46943000.0,-4.85,-1.21,-0.02,4.66
复星医药,600196,1998-08-21,-1.67,-1.66,-1.62,-1.7,21133,47327000.0,-4.79,0.6,0.01,4.7
复星医药,600196,1998-08-24,-1.67,-1.6,-1.51,-1.67,48311,113001000.0,-9.64,3.61,0.06,10.74
复星医药,600196,1998-08-25,-1.68,-1.59,-1.58,-1.68,21152,48802000.0,-6.25,0.63,0.01,4.7
复星医药,600196,1998-08-26,-1.59,-1.61,-1.55,-1.63,16973,39364000.0,-5.03,-1.26,-0.02,3.77
复星医药,600196,1998-08-27,-1.62,-1.67,-1.62,-1.67,19125,43098000.0,-3.11,-3.73,-0.06,4.25
复星医药,600196,1998-08-28,-1.69,-1.67,-1.64,-1.69,17348,38672000.0,-2.99,0.0,0.0,3.86
复星医药,600196,1998-08-31,-1.67,-1.64,-1.61,-1.76,23980,52493000.0,-8.98,1.8,0.03,5.33
复星医药,600196,1998-09-01,-1.66,-1.66,-1.59,-1.7,15582,35379000.0,-6.71,-1.22,-0.02,3.46
复星医药,600196,1998-09-02,-1.67,-1.6,-1.57,-1.69,23775,54782000.0,-7.23,3.61,0.06,5.28
复星医药,600196,1998-09-03,-1.6,-1.51,-1.48,-1.61,44094,106096000.0,-8.13,5.63,0.09,9.8
复星医药,600196,1998-09-04,-1.5,-1.52,-1.48,-1.52,15431,37423000.0,-2.65,-0.66,-0.01,3.43
复星医药,600196,1998-09-07,-1.52,-1.48,-1.48,-1.55,16632,40025000.0,-4.61,2.63,0.04,3.7
复星医药,600196,1998-09-08,-1.48,-1.45,-1.37,-1.48,50565,127921000.0,-7.43,2.03,0.03,11.24
复星医药,600196,1998-09-09,-1.45,-1.25,-1.23,-1.45,43583,114026000.0,-15.17,13.79,0.2,9.69
复星医药,600196,1998-09-10,-1.23,-1.27,-1.14,-1.28,57355,157273000.0,-11.2,-1.6,-0.02,12.75
复星医药,600196,1998-09-11,-1.28,-1.2,-1.16,-1.29,40831,112221000.0,-10.24,5.51,0.07,9.07
复星医药,600196,1998-09-14,-1.22,-1.29,-1.18,-1.3,46860,127763000.0,-10.0,-7.5,-0.09,10.41
复星医药,600196,1998-09-15,-1.3,-1.31,-1.23,-1.33,31650,84559000.0,-7.75,-1.55,-0.02,7.03
复星医药,600196,1998-09-16,-1.3,-1.16,-1.16,-1.32,32885,89269000.0,-12.21,11.45,0.15,7.31
复星医药,600196,1998-09-17,-1.15,-1.28,-1.12,-1.32,35849,98400000.0,-17.24,-10.34,-0.12,7.97
复星医药,600196,1998-09-18,-1.3,-1.31,-1.27,-1.36,25321,66617000.0,-7.03,-2.34,-0.03,5.63
复星医药,600196,1998-09-21,-1.35,-1.31,-1.29,-1.36,9801,25799000.0,-5.34,0.0,0.0,2.18
复星医药,600196,1998-09-22,-1.31,-1.33,-1.3,-1.36,11214,29340000.0,-4.58,-1.53,-0.02,2.49
复星医药,600196,1998-09-23,-1.34,-1.32,-1.3,-1.36,9983,26088000.0,-4.51,0.75,0.01,2.22
