股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
恒力石化,600346,2001-08-20,0.34,0.23,0.34,0.1,268435,511813000.0,-12.63,112.11,2.13,69.72
恒力石化,600346,2001-08-21,0.2,0.16,0.26,0.16,75712,143174000.0,43.48,-30.43,-0.07,19.67
恒力石化,600346,2001-08-22,0.16,0.23,0.25,0.12,64250,120834000.0,81.25,43.75,0.07,16.69
恒力石化,600346,2001-08-23,0.22,0.19,0.23,0.17,25863,48847000.0,26.09,-17.39,-0.04,6.72
恒力石化,600346,2001-08-24,0.2,0.01,0.22,-0.02,60539,109940000.0,126.32,-94.74,-0.18,15.72
恒力石化,600346,2001-08-27,-0.01,-0.04,0.05,-0.07,29028,50827000.0,1200.0,-500.0,-0.05,7.54
恒力石化,600346,2001-08-28,-0.06,0.09,0.1,-0.07,28992,51757000.0,-425.0,325.0,0.13,7.53
恒力石化,600346,2001-08-29,0.09,0.04,0.11,0.02,16767,30273000.0,100.0,-55.56,-0.05,4.36
恒力石化,600346,2001-08-30,0.06,0.07,0.12,0.04,12344,22393000.0,200.0,75.0,0.03,3.21
恒力石化,600346,2001-08-31,0.06,0.05,0.09,0.05,6640,11952000.0,57.14,-28.57,-0.02,1.72
恒力石化,600346,2001-09-03,0.04,-0.04,0.06,-0.07,17047,29702000.0,260.0,-180.0,-0.09,4.43
恒力石化,600346,2001-09-04,-0.04,0.03,0.04,-0.05,13084,23084000.0,-225.0,175.0,0.07,3.4
恒力石化,600346,2001-09-05,0.04,0.01,0.09,0.0,11440,20464000.0,300.0,-66.67,-0.02,2.97
恒力石化,600346,2001-09-06,0.01,0.02,0.05,-0.01,6015,10650000.0,600.0,100.0,0.01,1.56
恒力石化,600346,2001-09-07,0.0,-0.06,0.03,-0.06,11142,19382000.0,450.0,-400.0,-0.08,2.89
恒力石化,600346,2001-09-10,-0.1,0.02,0.04,-0.14,11501,20081000.0,-300.0,133.33,0.08,2.99
恒力石化,600346,2001-09-11,0.02,0.01,0.05,-0.01,6268,11089000.0,300.0,-50.0,-0.01,1.63
恒力石化,600346,2001-09-12,-0.06,-0.03,-0.01,-0.11,15582,26886000.0,1000.0,-400.0,-0.04,4.05
恒力石化,600346,2001-09-13,-0.04,-0.05,-0.01,-0.07,5254,9098000.0,-200.0,-66.67,-0.02,1.36
恒力石化,600346,2001-09-14,-0.06,-0.09,-0.02,-0.09,9502,16219000.0,-140.0,-80.0,-0.04,2.47
恒力石化,600346,2001-09-17,-0.12,-0.17,-0.09,-0.17,12227,20396000.0,-88.89,-88.89,-0.08,3.18
恒力石化,600346,2001-09-18,-0.17,-0.13,-0.09,-0.17,5031,8408000.0,-47.06,23.53,0.04,1.31
恒力石化,600346,2001-09-19,-0.12,-0.08,-0.08,-0.17,6927,11636000.0,-69.23,38.46,0.05,1.8
