股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
招商银行,600036,2002-04-09,-5.39,-5.35,-5.3,-5.39,4141088,4418821513.0,-1.45,13.85,0.86,69.02
招商银行,600036,2002-04-10,-5.35,-5.37,-5.34,-5.42,679455,716684277.0,-1.5,-0.37,-0.02,11.32
招商银行,600036,2002-04-11,-5.37,-5.39,-5.35,-5.4,227883,240963540.0,-0.93,-0.37,-0.02,3.8
招商银行,600036,2002-04-12,-5.39,-5.38,-5.36,-5.4,212565,224059896.0,-0.74,0.19,0.01,3.54
招商银行,600036,2002-04-15,-5.38,-5.42,-5.37,-5.43,185311,193306921.0,-1.12,-0.74,-0.04,3.09
招商银行,600036,2002-04-16,-5.43,-5.48,-5.42,-5.49,249255,254942372.0,-1.29,-1.11,-0.06,4.15
招商银行,600036,2002-04-17,-5.48,-5.47,-5.46,-5.5,114593,116550894.0,-0.73,0.18,0.01,1.91
招商银行,600036,2002-04-18,-5.47,-5.49,-5.47,-5.5,85333,86436774.0,-0.55,-0.37,-0.02,1.42
招商银行,600036,2002-04-19,-5.5,-5.49,-5.48,-5.52,157222,157784095.0,-0.73,0.0,0.0,2.62
招商银行,600036,2002-04-22,-5.5,-5.52,-5.5,-5.52,65938,66105563.0,-0.36,-0.55,-0.03,1.1
招商银行,600036,2002-04-23,-5.52,-5.52,-5.5,-5.55,73765,73759692.0,-0.91,0.0,0.0,1.23
招商银行,600036,2002-04-24,-5.52,-5.58,-5.52,-5.6,172414,169554787.0,-1.45,-1.09,-0.06,2.87
招商银行,600036,2002-04-25,-5.59,-5.57,-5.56,-5.59,99603,97420590.0,-0.54,0.18,0.01,1.66
招商银行,600036,2002-04-26,-5.57,-5.56,-5.55,-5.57,81692,80382992.0,-0.36,0.18,0.01,1.36
招商银行,600036,2002-04-29,-5.56,-5.56,-5.55,-5.6,90361,88537531.0,-0.9,0.0,0.0,1.51
招商银行,600036,2002-04-30,-5.55,-5.52,-5.48,-5.57,182625,182699162.0,-1.62,0.72,0.04,3.04
招商银行,600036,2002-05-08,-5.52,-5.55,-5.51,-5.55,42284,41990478.0,-0.72,-0.54,-0.03,0.7
招商银行,600036,2002-05-09,-5.55,-5.54,-5.5,-5.55,44704,44552493.0,-0.9,0.18,0.01,0.75
招商银行,600036,2002-05-10,-5.55,-5.57,-5.54,-5.57,46385,45667174.0,-0.54,-0.54,-0.03,0.77
招商银行,600036,2002-05-13,-5.57,-5.62,-5.57,-5.63,127255,122595409.0,-1.08,-0.9,-0.05,2.12
招商银行,600036,2002-05-14,-5.62,-5.66,-5.61,-5.66,82399,78664998.0,-0.89,-0.71,-0.04,1.37
招商银行,600036,2002-05-15,-5.66,-5.7,-5.64,-5.71,97084,91212164.0,-1.24,-0.71,-0.04,1.62
招商银行,600036,2002-05-16,-5.71,-5.74,-5.71,-5.76,195171,178313622.0,-0.88,-0.7,-0.04,3.25
招商银行,600036,2002-05-17,-5.73,-5.71,-5.7,-5.77,100101,91833344.0,-1.22,0.52,0.03,1.67
招商银行,600036,2002-05-20,-5.74,-5.78,-5.73,-5.8,112971,101667315.0,-1.23,-1.23,-0.07,1.88
招商银行,600036,2002-05-21,-5.73,-5.73,-5.71,-5.77,126084,115523918.0,-1.04,0.87,0.05,2.1
招商银行,600036,2002-05-22,-5.73,-5.79,-5.73,-5.8,73384,66043321.0,-1.22,-1.05,-0.06,1.22
招商银行,600036,2002-05-23,-5.79,-5.78,-5.74,-5.79,71889,64749341.0,-0.86,0.17,0.01,1.2
招商银行,600036,2002-05-24,-5.78,-5.81,-5.77,-5.84,105260,92941498.0,-1.21,-0.52,-0.03,1.75
招商银行,600036,2002-05-27,-5.81,-5.8,-5.79,-5.83,54394,48160843.0,-0.69,0.17,0.01,0.91
招商银行,600036,2002-05-28,-5.8,-5.8,-5.78,-5.8,56077,50176390.0,-0.34,0.0,0.0,0.93
招商银行,600036,2002-05-29,-5.8,-5.86,-5.79,-5.88,74802,65398179.0,-1.55,-1.03,-0.06,1.25
招商银行,600036,2002-05-30,-5.87,-5.84,-5.83,-5.9,131798,113645564.0,-1.19,0.34,0.02,2.2
招商银行,600036,2002-05-31,-5.85,-5.85,-5.81,-5.87,46692,40944136.0,-1.03,-0.17,-0.01,0.78
招商银行,600036,2002-06-04,-5.87,-5.81,-5.78,-5.9,213158,188202674.0,-2.05,0.68,0.04,3.55
招商银行,600036,2002-06-05,-5.72,-5.84,-5.72,-5.85,91495,80995385.0,-2.24,-0.52,-0.03,1.52
招商银行,600036,2002-06-06,-5.84,-5.78,-5.76,-5.86,125310,112008796.0,-1.71,1.03,0.06,2.09
招商银行,600036,2002-06-07,-5.78,-5.78,-5.76,-5.8,117607,105772506.0,-0.69,0.0,0.0,1.96
招商银行,600036,2002-06-10,-5.78,-5.78,-5.76,-5.8,49101,44206174.0,-0.69,0.0,0.0,0.82
招商银行,600036,2002-06-11,-5.78,-5.79,-5.78,-5.8,28482,25522714.0,-0.35,-0.17,-0.01,0.47
招商银行,600036,2002-06-12,-5.78,-5.81,-5.78,-5.83,30368,26911353.0,-0.86,-0.35,-0.02,0.51
招商银行,600036,2002-06-13,-5.81,-5.84,-5.81,-5.84,28615,25179530.0,-0.52,-0.52,-0.03,0.48
招商银行,600036,2002-06-14,-5.84,-5.86,-5.84,-5.86,29395,25580232.0,-0.34,-0.34,-0.02,0.49
招商银行,600036,2002-06-17,-5.87,-5.87,-5.87,-5.89,30368,26183428.0,-0.34,-0.17,-0.01,0.51
招商银行,600036,2002-06-18,-5.87,-5.83,-5.82,-5.87,53176,46624766.0,-0.85,0.68,0.04,0.89
招商银行,600036,2002-06-19,-5.83,-5.86,-5.82,-5.87,27745,24170101.0,-0.86,-0.51,-0.03,0.46
