股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
片仔癀,600436,2003-06-16,-1.26,-1.24,-1.13,-1.35,206991,328918890.0,-7.43,58.11,1.72,51.75
片仔癀,600436,2003-06-17,-1.25,-1.2,-1.18,-1.27,56840,91366338.0,-7.26,3.23,0.04,14.21
片仔癀,600436,2003-06-18,-1.2,-1.3,-1.19,-1.32,39029,61820172.0,-10.83,-8.33,-0.1,9.76
片仔癀,600436,2003-06-19,-1.3,-1.26,-1.23,-1.37,39827,62216163.0,-10.77,3.08,0.04,9.96
片仔癀,600436,2003-06-20,-1.28,-1.37,-1.24,-1.37,21199,33243831.0,-10.32,-8.73,-0.11,5.3
片仔癀,600436,2003-06-23,-1.37,-1.34,-1.33,-1.39,13131,20295678.0,-4.38,2.19,0.03,3.28
片仔癀,600436,2003-06-24,-1.35,-1.35,-1.32,-1.37,8736,13534473.0,-3.73,-0.75,-0.01,2.18
片仔癀,600436,2003-06-25,-1.35,-1.46,-1.34,-1.48,19799,30030449.0,-10.37,-8.15,-0.11,4.95
片仔癀,600436,2003-06-26,-1.46,-1.5,-1.45,-1.56,19005,28194569.0,-7.53,-2.74,-0.04,4.75
片仔癀,600436,2003-06-27,-1.51,-1.57,-1.5,-1.57,12404,18144949.0,-4.67,-4.67,-0.07,3.1
片仔癀,600436,2003-06-30,-1.58,-1.58,-1.51,-1.6,8426,12295251.0,-5.73,-0.64,-0.01,2.11
片仔癀,600436,2003-07-01,-1.59,-1.58,-1.51,-1.6,7128,10397706.0,-5.7,0.0,0.0,1.78
片仔癀,600436,2003-07-02,-1.53,-1.45,-1.39,-1.56,25078,37594725.0,-10.76,8.23,0.13,6.27
片仔癀,600436,2003-07-03,-1.49,-1.47,-1.45,-1.51,8555,12766069.0,-4.14,-1.38,-0.02,2.14
片仔癀,600436,2003-07-04,-1.49,-1.48,-1.46,-1.51,5682,8453458.0,-3.4,-0.68,-0.01,1.42
片仔癀,600436,2003-07-07,-1.48,-1.51,-1.48,-1.54,5860,8638812.0,-4.05,-2.03,-0.03,1.47
片仔癀,600436,2003-07-08,-1.51,-1.46,-1.44,-1.56,7986,11870834.0,-7.95,3.31,0.05,2.0
片仔癀,600436,2003-07-09,-1.46,-1.49,-1.44,-1.5,4207,6256947.0,-4.11,-2.05,-0.03,1.05
片仔癀,600436,2003-07-10,-1.52,-1.45,-1.44,-1.52,8441,12655101.0,-5.37,2.68,0.04,2.11
片仔癀,600436,2003-07-11,-1.45,-1.47,-1.45,-1.49,5350,8003647.0,-2.76,-1.38,-0.02,1.34
片仔癀,600436,2003-07-14,-1.47,-1.5,-1.47,-1.51,5401,8017008.0,-2.72,-2.04,-0.03,1.35
片仔癀,600436,2003-07-15,-1.5,-1.4,-1.4,-1.51,9767,14719627.0,-7.33,6.67,0.1,2.44
片仔癀,600436,2003-07-16,-1.41,-1.43,-1.41,-1.45,4975,7529574.0,-2.86,-2.14,-0.03,1.24
