股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
用友网络,600588,2001-05-18,0.95,1.5,1.78,0.87,213989,1736480000.0,-216.67,457.14,1.92,85.6
用友网络,600588,2001-05-21,1.36,1.29,1.43,1.28,53643,468894000.0,10.0,-14.0,-0.21,21.46
用友网络,600588,2001-05-22,1.28,1.3,1.36,1.27,15656,135467000.0,6.98,0.78,0.01,6.26
用友网络,600588,2001-05-23,1.32,1.4,1.4,1.3,19717,173211000.0,7.69,7.69,0.1,7.89
用友网络,600588,2001-05-24,1.41,1.22,1.42,1.21,21190,182737000.0,15.0,-12.86,-0.18,8.48
用友网络,600588,2001-05-25,1.2,1.13,1.25,1.12,22030,180565000.0,10.66,-7.38,-0.09,8.81
用友网络,600588,2001-05-28,1.12,1.13,1.17,1.1,8075,65602000.0,6.19,0.0,0.0,3.23
用友网络,600588,2001-05-29,1.12,1.06,1.15,1.05,11335,91013000.0,8.85,-6.19,-0.07,4.53
用友网络,600588,2001-05-30,1.06,1.14,1.15,1.03,7616,60678000.0,11.32,7.55,0.08,3.05
用友网络,600588,2001-05-31,1.14,1.07,1.14,1.05,6006,48063000.0,7.89,-6.14,-0.07,2.4
用友网络,600588,2001-06-01,1.07,1.14,1.14,1.05,4383,35253000.0,8.41,6.54,0.07,1.75
用友网络,600588,2001-06-04,1.13,1.12,1.14,1.1,2341,18922000.0,3.51,-1.75,-0.02,0.94
用友网络,600588,2001-06-05,1.12,1.11,1.17,1.1,2807,22857000.0,6.25,-0.89,-0.01,1.12
用友网络,600588,2001-06-06,1.11,1.08,1.12,1.06,4808,38370000.0,5.41,-2.7,-0.03,1.92
用友网络,600588,2001-06-07,1.07,1.04,1.09,1.03,4940,39099000.0,5.56,-3.7,-0.04,1.98
用友网络,600588,2001-06-08,1.04,1.06,1.07,1.03,2380,18792000.0,3.85,1.92,0.02,0.95
用友网络,600588,2001-06-11,1.06,1.0,1.06,0.99,6190,48224000.0,6.6,-5.66,-0.06,2.48
用友网络,600588,2001-06-12,1.0,0.98,1.02,0.98,5007,38663000.0,4.0,-2.0,-0.02,2.0
用友网络,600588,2001-06-13,0.98,1.1,1.1,0.98,8229,64703000.0,12.24,12.24,0.12,3.29
用友网络,600588,2001-06-14,1.08,1.02,1.1,1.02,7442,58754000.0,7.27,-7.27,-0.08,2.98
用友网络,600588,2001-06-15,1.01,1.1,1.17,1.0,13991,112594000.0,16.67,7.84,0.08,5.6
用友网络,600588,2001-06-18,1.12,1.09,1.12,1.06,3353,26886000.0,5.45,-0.91,-0.01,1.34
用友网络,600588,2001-06-19,1.09,1.11,1.15,1.09,4544,36969000.0,5.5,1.83,0.02,1.82
用友网络,600588,2001-06-20,1.11,1.05,1.13,1.03,2415,19232000.0,9.01,-5.41,-0.06,0.97
用友网络,600588,2001-06-21,1.05,1.07,1.09,1.04,3475,27687000.0,4.76,1.9,0.02,1.39
用友网络,600588,2001-06-22,1.07,1.06,1.1,1.05,2645,21101000.0,4.67,-0.93,-0.01,1.06
用友网络,600588,2001-06-25,1.06,1.05,1.07,1.04,2721,21483000.0,2.83,-0.94,-0.01,1.09
用友网络,600588,2001-06-26,1.05,1.05,1.09,1.04,2324,18435000.0,4.76,0.0,0.0,0.93
用友网络,600588,2001-06-27,1.05,1.05,1.08,1.05,1959,15497000.0,2.86,0.0,0.0,0.78
用友网络,600588,2001-06-28,1.05,1.01,1.05,1.0,4447,34754000.0,4.76,-3.81,-0.04,1.78
用友网络,600588,2001-06-29,1.02,1.01,1.03,1.0,2477,19278000.0,2.97,0.0,0.0,0.99
用友网络,600588,2001-07-02,1.0,1.01,1.04,1.0,1188,9236000.0,3.96,0.0,0.0,0.48
用友网络,600588,2001-07-03,1.01,1.02,1.02,1.0,1113,8652000.0,1.98,0.99,0.01,0.45
用友网络,600588,2001-07-04,1.01,1.05,1.07,1.01,3528,27814000.0,5.88,2.94,0.03,1.41
用友网络,600588,2001-07-05,1.04,1.08,1.13,1.04,12886,103586000.0,8.57,2.86,0.03,5.15
用友网络,600588,2001-07-06,1.09,1.06,1.1,1.05,1485,11832000.0,4.63,-1.85,-0.02,0.59
用友网络,600588,2001-07-09,1.06,1.03,1.08,1.01,1812,14200000.0,6.6,-2.83,-0.03,0.72
用友网络,600588,2001-07-10,1.02,1.03,1.05,1.02,1295,10136000.0,2.91,0.0,0.0,0.52
用友网络,600588,2001-07-11,1.03,1.04,1.06,1.01,1535,11991000.0,4.85,0.97,0.01,0.61
用友网络,600588,2001-07-12,1.04,1.02,1.04,1.01,763,5958000.0,2.88,-1.92,-0.02,0.31
用友网络,600588,2001-07-13,1.03,1.03,1.05,1.02,1200,9401940.0,2.94,0.98,0.01,0.48
用友网络,600588,2001-07-16,1.05,1.0,1.06,0.98,2231,17354000.0,7.77,-2.91,-0.03,0.89
用友网络,600588,2001-07-17,0.99,0.92,1.01,0.9,4790,36341000.0,11.0,-8.0,-0.08,1.92
用友网络,600588,2001-07-18,0.91,0.93,0.94,0.91,2085,15681000.0,3.26,1.09,0.01,0.83
用友网络,600588,2001-07-19,0.93,0.92,0.94,0.91,799,6006000.0,3.23,-1.08,-0.01,0.32
用友网络,600588,2001-07-20,0.94,0.93,0.98,0.93,2797,21338000.0,5.43,1.09,0.01,1.12
用友网络,600588,2001-07-23,0.94,0.91,0.94,0.9,2769,20793000.0,4.3,-2.15,-0.02,1.11
用友网络,600588,2001-07-24,0.9,0.86,0.9,0.85,4364,32212000.0,5.49,-5.49,-0.05,1.75
用友网络,600588,2001-07-25,0.84,0.79,0.86,0.77,2906,20946000.0,10.47,-8.14,-0.07,1.16
用友网络,600588,2001-07-26,0.77,0.73,0.8,0.72,4493,31543000.0,10.13,-7.59,-0.06,1.8
用友网络,600588,2001-07-27,0.73,0.64,0.74,0.64,3538,24058000.0,13.7,-12.33,-0.09,1.42
用友网络,600588,2001-07-30,0.63,0.53,0.63,0.53,4255,27602000.0,15.63,-17.19,-0.11,1.7
用友网络,600588,2001-07-31,0.52,0.53,0.58,0.49,3071,19718000.0,16.98,0.0,0.0,1.23
用友网络,600588,2001-08-01,0.53,0.58,0.59,0.53,1821,11867000.0,11.32,9.43,0.05,0.73
用友网络,600588,2001-08-02,0.58,0.5,0.58,0.45,2772,17501000.0,22.41,-13.79,-0.08,1.11
用友网络,600588,2001-08-03,0.49,0.5,0.5,0.47,1075,6747000.0,6.0,0.0,0.0,0.43
用友网络,600588,2001-08-06,0.46,0.32,0.48,0.29,5526,32684000.0,38.0,-36.0,-0.18,2.21
用友网络,600588,2001-08-07,0.31,0.35,0.39,0.27,3424,19756000.0,37.5,9.38,0.03,1.37
用友网络,600588,2001-08-08,0.35,0.32,0.36,0.3,1307,7597000.0,17.14,-8.57,-0.03,0.52
用友网络,600588,2001-08-09,0.33,0.4,0.41,0.32,1379,8188000.0,28.13,25.0,0.08,0.55
用友网络,600588,2001-08-10,0.43,0.43,0.44,0.4,2758,16863000.0,10.0,7.5,0.03,1.1
用友网络,600588,2001-08-13,0.43,0.42,0.43,0.39,1483,8978000.0,9.3,-2.33,-0.01,0.59
用友网络,600588,2001-08-14,0.43,0.46,0.49,0.41,2425,14970000.0,19.05,9.52,0.04,0.97
用友网络,600588,2001-08-15,0.46,0.42,0.46,0.41,909,5533000.0,10.87,-8.7,-0.04,0.36
用友网络,600588,2001-08-16,0.41,0.35,0.41,0.35,2176,12900000.0,14.29,-16.67,-0.07,0.87
用友网络,600588,2001-08-17,0.35,0.37,0.38,0.32,1677,9913000.0,17.14,5.71,0.02,0.67
用友网络,600588,2001-08-20,0.37,0.36,0.37,0.33,695,4099000.0,10.81,-2.7,-0.01,0.28
用友网络,600588,2001-08-21,0.33,0.39,0.4,0.33,1736,10397000.0,19.44,8.33,0.03,0.69
用友网络,600588,2001-08-22,0.39,0.32,0.39,0.31,1840,10710000.0,20.51,-17.95,-0.07,0.74
用友网络,600588,2001-08-23,0.32,0.32,0.32,0.29,1807,10391000.0,9.38,0.0,0.0,0.72
用友网络,600588,2001-08-24,0.31,0.3,0.35,0.29,875,5065000.0,18.75,-6.25,-0.02,0.35
用友网络,600588,2001-08-27,0.29,0.22,0.29,0.22,2909,16258000.0,23.33,-26.67,-0.08,1.16
用友网络,600588,2001-08-28,0.21,0.21,0.21,0.16,2472,13372000.0,22.73,-4.55,-0.01,0.99
用友网络,600588,2001-08-29,0.23,0.24,0.28,0.21,3325,18541000.0,33.33,14.29,0.03,1.33
