股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
长城汽车,601633,2011-09-28,1.45,1.14,1.45,1.12,682609,836020752.0,21.71,-25.0,-0.38,27.95
长城汽车,601633,2011-09-29,1.05,1.31,1.42,1.02,559752,688445952.0,35.09,14.91,0.17,22.92
长城汽车,601633,2011-09-30,1.28,1.34,1.41,1.19,384878,477490672.0,16.79,2.29,0.03,15.76
长城汽车,601633,2011-10-10,1.34,0.96,1.34,0.92,341800,397163776.0,31.34,-28.36,-0.38,13.99
长城汽车,601633,2011-10-11,1.05,1.3,1.34,1.03,557516,682555296.0,32.29,35.42,0.34,22.83
长城汽车,601633,2011-10-12,1.12,1.46,1.52,1.08,607341,759515104.0,33.85,12.31,0.16,24.87
长城汽车,601633,2011-10-13,1.39,1.46,1.55,1.36,436206,561155584.0,13.01,0.0,0.0,17.86
长城汽车,601633,2011-10-14,1.42,1.37,1.45,1.31,230728,289727760.0,9.59,-6.16,-0.09,9.45
长城汽车,601633,2011-10-17,1.37,1.53,1.6,1.32,413375,532312192.0,20.44,11.68,0.16,16.92
长城汽车,601633,2011-10-18,1.47,1.26,1.5,1.22,350347,435713040.0,18.3,-17.65,-0.27,14.34
长城汽车,601633,2011-10-19,1.27,1.23,1.35,1.23,204259,251292075.0,9.52,-2.38,-0.03,8.36
长城汽车,601633,2011-10-20,1.19,1.09,1.2,1.01,188589,219559156.0,15.45,-11.38,-0.14,7.72
长城汽车,601633,2011-10-21,1.07,0.98,1.1,0.95,98493,113310893.0,13.76,-10.09,-0.11,4.03
长城汽车,601633,2011-10-24,1.01,1.16,1.2,0.94,180881,212192789.0,26.53,18.37,0.18,7.41
长城汽车,601633,2011-10-25,1.15,1.22,1.32,1.07,198459,238650764.0,21.55,5.17,0.06,8.13
长城汽车,601633,2011-10-26,1.16,1.23,1.35,1.15,195543,239641475.0,16.39,0.82,0.01,8.01
长城汽车,601633,2011-10-27,1.26,1.2,1.27,1.15,115686,139232887.0,9.76,-2.44,-0.03,4.74
长城汽车,601633,2011-10-28,1.26,1.25,1.3,1.16,165377,200568182.0,11.67,4.17,0.05,6.77
长城汽车,601633,2011-10-31,1.3,1.29,1.37,1.25,139114,171946499.0,9.6,3.2,0.04,5.7
长城汽车,601633,2011-11-01,1.24,1.25,1.34,1.2,146096,178396543.0,10.85,-3.1,-0.04,5.98
长城汽车,601633,2011-11-02,1.15,1.24,1.26,1.09,146343,174454024.0,13.6,-0.8,-0.01,5.99
长城汽车,601633,2011-11-03,1.25,1.3,1.44,1.21,244300,302338256.0,18.55,4.84,0.06,10.0
长城汽车,601633,2011-11-04,1.34,1.31,1.37,1.24,132938,163559474.0,10.0,0.77,0.01,5.44
长城汽车,601633,2011-11-07,1.28,1.28,1.36,1.26,105061,130129561.0,7.63,-2.29,-0.03,4.3
长城汽车,601633,2011-11-08,1.27,1.18,1.29,1.17,93648,113305380.0,9.38,-7.81,-0.1,3.83
长城汽车,601633,2011-11-09,1.18,1.2,1.23,1.11,80431,96154803.0,10.17,1.69,0.02,3.29
长城汽车,601633,2011-11-10,1.15,1.07,1.16,1.06,102997,121286586.0,8.33,-10.83,-0.13,4.22
长城汽车,601633,2011-11-11,1.11,1.05,1.12,1.02,70390,82037638.0,9.35,-1.87,-0.02,2.88
长城汽车,601633,2011-11-14,1.1,1.13,1.15,1.07,69204,81724714.0,7.62,7.62,0.08,2.83
长城汽车,601633,2011-11-15,1.12,1.16,1.18,1.11,64785,76922912.0,6.19,2.65,0.03,2.65
长城汽车,601633,2011-11-16,1.14,1.09,1.15,1.04,66699,78036318.0,9.48,-6.03,-0.07,2.73
长城汽车,601633,2011-11-17,1.08,1.09,1.13,1.07,46384,54490173.0,5.5,0.0,0.0,1.9
长城汽车,601633,2011-11-18,1.07,1.05,1.08,1.02,52996,61300095.0,5.5,-3.67,-0.04,2.17
长城汽车,601633,2011-11-21,1.05,1.05,1.1,1.03,35493,41276220.0,6.67,0.0,0.0,1.45
长城汽车,601633,2011-11-22,1.04,1.0,1.04,0.96,39393,44942371.0,7.62,-4.76,-0.05,1.61
长城汽车,601633,2011-11-23,1.0,0.96,1.01,0.94,33424,37884377.0,7.0,-4.0,-0.04,1.37
长城汽车,601633,2011-11-24,0.92,0.95,0.98,0.88,43202,48548347.0,10.42,-1.04,-0.01,1.77
长城汽车,601633,2011-11-25,0.95,0.9,0.97,0.88,27955,31306322.0,9.47,-5.26,-0.05,1.14
长城汽车,601633,2011-11-28,0.91,0.91,0.95,0.89,20018,22405612.0,6.67,1.11,0.01,0.82
长城汽车,601633,2011-11-29,0.95,0.98,0.98,0.92,27231,30750101.0,6.59,7.69,0.07,1.11
长城汽车,601633,2011-11-30,0.97,0.79,0.97,0.75,53677,58994071.0,22.45,-19.39,-0.19,2.2
长城汽车,601633,2011-12-01,0.9,0.9,0.97,0.86,74117,83122369.0,13.92,13.92,0.11,3.03
长城汽车,601633,2011-12-02,0.9,0.82,0.92,0.82,26366,29027758.0,11.11,-8.89,-0.08,1.08
长城汽车,601633,2011-12-05,0.82,0.73,0.83,0.73,20418,21965226.0,12.2,-10.98,-0.09,0.84
长城汽车,601633,2011-12-06,0.72,0.86,0.88,0.7,62096,68005203.0,24.66,17.81,0.13,2.54
长城汽车,601633,2011-12-07,0.88,0.88,0.94,0.85,30232,33608685.0,10.47,2.33,0.02,1.24
长城汽车,601633,2011-12-08,0.9,0.95,0.97,0.86,47259,53159383.0,12.5,7.95,0.07,1.93
长城汽车,601633,2011-12-09,0.92,0.92,0.97,0.89,42584,47791264.0,8.42,-3.16,-0.03,1.74
长城汽车,601633,2011-12-12,0.91,0.94,0.96,0.91,23938,26946291.0,5.43,2.17,0.02,0.98
长城汽车,601633,2011-12-13,0.92,0.88,0.92,0.79,33953,37371599.0,13.83,-6.38,-0.06,1.39
长城汽车,601633,2011-12-14,0.86,0.81,0.94,0.78,28481,31450569.0,18.18,-7.95,-0.07,1.17
长城汽车,601633,2011-12-15,0.83,0.77,0.84,0.72,26013,28064798.0,14.81,-4.94,-0.04,1.07
长城汽车,601633,2011-12-16,0.79,0.97,0.99,0.77,55739,62209258.0,28.57,25.97,0.2,2.28
长城汽车,601633,2011-12-19,0.97,1.07,1.1,0.92,69852,80259991.0,18.56,10.31,0.1,2.86
长城汽车,601633,2011-12-20,1.05,1.01,1.12,1.0,38802,45109618.0,11.21,-5.61,-0.06,1.59
长城汽车,601633,2011-12-21,1.03,0.99,1.12,0.98,40343,46941591.0,13.86,-1.98,-0.02,1.65
长城汽车,601633,2011-12-22,0.99,1.05,1.09,0.94,42140,48299822.0,15.15,6.06,0.06,1.73
长城汽车,601633,2011-12-23,1.04,1.13,1.17,1.03,63776,75325924.0,13.33,7.62,0.08,2.61
长城汽车,601633,2011-12-26,1.13,1.09,1.18,1.09,34353,40696286.0,7.96,-3.54,-0.04,1.41
长城汽车,601633,2011-12-27,1.08,1.04,1.13,1.0,42949,50006902.0,11.93,-4.59,-0.05,1.76
长城汽车,601633,2011-12-28,1.05,1.02,1.06,0.99,102989,118517632.0,6.73,-1.92,-0.02,3.39
长城汽车,601633,2011-12-29,1.03,1.12,1.19,1.01,80155,94890860.0,17.65,9.8,0.1,2.63
长城汽车,601633,2011-12-30,1.12,1.18,1.21,1.12,54813,65312231.0,8.04,5.36,0.06,1.8
长城汽车,601633,2012-01-04,1.19,1.14,1.28,1.14,42054,50628735.0,11.86,-3.39,-0.04,1.38
长城汽车,601633,2012-01-05,1.11,1.22,1.28,1.11,81193,98290570.0,14.91,7.02,0.08,2.67
长城汽车,601633,2012-01-06,1.17,1.12,1.25,1.02,38570,45238854.0,18.85,-8.2,-0.1,1.27
长城汽车,601633,2012-01-09,1.12,1.27,1.31,1.05,77146,94144387.0,23.21,13.39,0.15,2.54
长城汽车,601633,2012-01-10,1.28,1.34,1.35,1.28,96580,119877062.0,5.51,5.51,0.07,3.17
长城汽车,601633,2012-01-11,1.32,1.32,1.36,1.3,62125,77196386.0,4.48,-1.49,-0.02,2.04
长城汽车,601633,2012-01-12,1.32,1.4,1.44,1.29,74828,94547345.0,11.36,6.06,0.08,2.46
长城汽车,601633,2012-01-13,1.42,1.27,1.43,1.25,76143,94497422.0,12.86,-9.29,-0.13,2.5
长城汽车,601633,2012-01-17,1.23,1.52,1.52,1.19,112267,141982683.0,25.98,19.69,0.25,3.69
长城汽车,601633,2012-01-18,1.49,1.44,1.55,1.41,94739,122173783.0,9.21,-5.26,-0.08,3.11
长城汽车,601633,2012-01-19,1.39,1.48,1.54,1.39,73454,94838475.0,10.42,2.78,0.04,2.41
长城汽车,601633,2012-01-20,1.5,1.52,1.54,1.44,126782,164753822.0,6.76,2.7,0.04,4.17
长城汽车,601633,2012-01-30,1.52,1.43,1.54,1.42,57450,74007861.0,7.89,-5.92,-0.09,1.89
长城汽车,601633,2012-01-31,1.4,1.38,1.46,1.29,52867,66106851.0,11.89,-3.5,-0.05,1.74
长城汽车,601633,2012-02-01,1.36,1.32,1.43,1.31,37904,47552819.0,8.7,-4.35,-0.06,1.25
