股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
隆基绿能,601012,2012-04-11,0.89,0.9,0.92,0.88,141973,281480528.0,4.17,-6.25,-0.06,23.66
隆基绿能,601012,2012-04-12,0.88,0.88,0.89,0.87,83715,162046467.0,2.22,-2.22,-0.02,13.95
隆基绿能,601012,2012-04-13,0.88,0.9,0.9,0.88,67896,132960266.0,2.27,2.27,0.02,11.32
隆基绿能,601012,2012-04-16,0.9,0.88,0.9,0.88,40849,80011656.0,2.22,-2.22,-0.02,6.81
隆基绿能,601012,2012-04-17,0.88,0.85,0.89,0.85,44861,85410868.0,4.55,-3.41,-0.03,7.48
隆基绿能,601012,2012-04-18,0.85,0.87,0.87,0.85,32794,62331897.0,2.35,2.35,0.02,5.47
隆基绿能,601012,2012-04-19,0.86,0.86,0.87,0.85,24204,46124277.0,2.3,-1.15,-0.01,4.03
隆基绿能,601012,2012-04-20,0.86,0.86,0.87,0.86,21776,41416322.0,1.16,0.0,0.0,3.63
隆基绿能,601012,2012-04-23,0.86,0.83,0.86,0.82,35875,66878505.0,4.65,-3.49,-0.03,5.98
隆基绿能,601012,2012-04-24,0.82,0.82,0.83,0.8,27687,49957200.0,3.61,-1.2,-0.01,4.61
隆基绿能,601012,2012-04-25,0.81,0.81,0.82,0.8,17289,31150446.0,2.44,-1.22,-0.01,2.88
隆基绿能,601012,2012-04-26,0.81,0.81,0.82,0.81,15936,29013252.0,1.23,0.0,0.0,2.66
隆基绿能,601012,2012-04-27,0.81,0.82,0.82,0.81,10815,19613355.0,1.23,1.23,0.01,1.8
隆基绿能,601012,2012-05-02,0.81,0.82,0.82,0.8,33930,61061255.0,2.44,0.0,0.0,5.66
隆基绿能,601012,2012-05-03,0.81,0.81,0.82,0.8,14561,26189635.0,2.44,-1.22,-0.01,2.43
隆基绿能,601012,2012-05-04,0.8,0.81,0.81,0.8,15077,27158432.0,1.23,0.0,0.0,2.51
隆基绿能,601012,2012-05-07,0.81,0.82,0.82,0.81,16596,30050680.0,1.23,1.23,0.01,2.77
隆基绿能,601012,2012-05-08,0.82,0.83,0.83,0.82,16888,30867065.0,1.22,1.22,0.01,2.81
隆基绿能,601012,2012-05-09,0.82,0.81,0.82,0.81,15891,28741112.0,1.2,-2.41,-0.02,2.65
隆基绿能,601012,2012-05-10,0.81,0.81,0.81,0.8,9377,16882745.0,1.23,0.0,0.0,1.56
隆基绿能,601012,2012-05-11,0.81,0.81,0.81,0.8,6279,11311050.0,1.23,0.0,0.0,1.05
隆基绿能,601012,2012-05-14,0.81,0.8,0.81,0.8,9124,16382687.0,1.23,-1.23,-0.01,1.52
隆基绿能,601012,2012-05-15,0.8,0.78,0.8,0.78,18731,33007673.0,2.5,-2.5,-0.02,3.12
隆基绿能,601012,2012-05-16,0.78,0.77,0.79,0.77,12789,22217658.0,2.56,-1.28,-0.01,2.13
隆基绿能,601012,2012-05-17,0.77,0.77,0.78,0.77,10045,17388304.0,1.3,0.0,0.0,1.67
隆基绿能,601012,2012-05-18,0.77,0.77,0.77,0.76,10021,17260291.0,1.3,0.0,0.0,1.67
