股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
韦尔股份,603501,2017-05-04,9.5,9.5,9.5,9.5,150,151225.0,0.0,48.21,3.09,0.04
韦尔股份,603501,2017-05-05,10.51,10.51,10.51,10.51,52,57513.0,0.0,10.63,1.01,0.01
韦尔股份,603501,2017-05-08,11.62,11.62,11.62,11.62,87,106401.0,0.0,10.56,1.11,0.02
韦尔股份,603501,2017-05-09,12.84,12.84,12.84,12.84,91,121830.0,0.0,10.5,1.22,0.02
韦尔股份,603501,2017-05-10,14.19,14.19,14.19,14.19,106,156880.0,0.0,10.51,1.35,0.03
韦尔股份,603501,2017-05-11,15.67,15.67,15.67,15.67,394,641432.0,0.0,10.43,1.48,0.09
韦尔股份,603501,2017-05-12,17.3,17.3,17.3,17.3,972,1739957.0,0.0,10.4,1.63,0.23
韦尔股份,603501,2017-05-15,19.09,19.09,19.09,19.09,773,1522987.0,0.0,10.35,1.79,0.19
韦尔股份,603501,2017-05-16,21.06,21.06,21.06,21.06,3002,6504316.0,0.0,10.32,1.97,0.72
韦尔股份,603501,2017-05-17,23.23,23.23,23.23,23.23,1642,3913956.0,0.0,10.3,2.17,0.39
韦尔股份,603501,2017-05-18,25.61,25.61,25.61,25.61,1527,4003060.0,0.0,10.25,2.38,0.37
韦尔股份,603501,2017-05-19,28.23,23.68,28.23,23.45,243098,631737760.0,18.66,-7.54,-1.93,58.44
韦尔股份,603501,2017-05-22,22.29,21.25,22.71,21.25,123576,277131696.0,6.17,-10.26,-2.43,29.71
韦尔股份,603501,2017-05-23,20.1,21.57,21.86,20.02,139664,301875264.0,8.66,1.51,0.32,33.57
韦尔股份,603501,2017-05-24,21.05,21.88,22.18,20.79,126769,281045392.0,6.44,1.44,0.31,30.47
韦尔股份,603501,2017-05-25,21.69,20.59,21.75,20.11,116882,249982025.0,7.5,-5.9,-1.29,28.1
韦尔股份,603501,2017-05-26,20.65,21.31,22.26,20.65,115731,254669262.0,7.82,3.5,0.72,27.82
